TIM_DAY,ITE_ADD_NEIGHBORHOOD_NAME,OPERACION,LONGITUDE,LATITUDE,SIT_CURRENCY_ID,ITE_SITE_CURRENT_PRICE,ITE_BASE_CURRENT_PRICE,Ambientes,Dormitorios,SConstrM2,STotalM2,ITE_AUCTION_START,ITE_AUCTION_STOP,TIPOPROPIEDAD
11/29/2023,,Venta,"-58,562834","-34,604951",DOL,58938750,65000,2,1,56,56,06/08/2023,01/17/2024,Departamento
11/29/2023,,Venta,"-58,5768595","-34,609099",DOL,40803750,45000,2,0,43,48,08/09/2023,02/05/2024,Departamento
11/29/2023,CASEROS,Venta,"-58,56848","-34,6081156",DOL,50778000,56000,2,1,37,43,11/17/2023,05/19/2024,Departamento
11/29/2023,CASEROS,Venta,"-58,5630869","-34,6108351",DOL,42617250,47000,1,0,30,37,10/02/2023,03/30/2024,Departamento
11/29/2023,CASEROS,Venta,"-58,5697847","-34,6069896",DOL,38990250,43000,2,1,37,48,09/13/2023,03/11/2024,Departamento
11/29/2023,CASEROS,Venta,"-58,5684242","-34,6097183",DOL,38990250,43000,,,29,29,11/02/2023,11/01/2024,Local
11/29/2023,,Venta,"-58,5661327","-34,6022374",DOL,231221250,255000,3,2,70,70,07/31/2023,01/27/2024,Casa
11/29/2023,CASEROS,Venta,"-58,5538485","-34,6146877",DOL,253890000,280000,4,3,512,740,11/17/2023,05/15/2024,Casa
11/29/2023,,Venta,"-58,564694","-34,599289",DOL,49871250,55000,2,1,40,40,11/13/2023,05/21/2024,Departamento
11/29/2023,CASEROS,Venta,"-58,5629162","-34,6000693",DOL,68913000,76000,2,1,39,46,10/25/2023,04/23/2024,Departamento
11/29/2023,,Venta,"-58,560543","-34,6074239",DOL,88317450,97400,3,2,88,103,10/21/2023,04/18/2024,Departamento
11/29/2023,CASEROS,Alquiler,"-58,5765142","-34,6004594",ARG,55000,"152,9902643",1,0,35,35,08/24/2023,08/23/2024,Local
11/27/2023,CASEROS,Venta,"-58,563206","-34,6407561",DOL,59845500,66000,2,1,39,47,11/27/2023,05/25/2024,Departamento
11/29/2023,CASEROS,Venta,"-58,5593845","-34,6062324",DOL,31500495,34740,1,0,36,41,06/29/2023,12/29/2023,Departamento
11/29/2023,CIUDADELA,Venta,"-58,5396258","-34,6406645",DOL,126945000,140000,3,2,190,320,09/28/2023,03/25/2024,Casa
11/29/2023,CASEROS,Venta,"-58,5650749","-34,6100248",DOL,42617250,47000,1,1,37,40,10/12/2023,04/09/2024,Departamento
11/29/2023,VILLA BOSCH,Venta,"-58,5729642","-34,5942172",DOL,86141250,95000,3,2,57,57,06/08/2023,12/05/2023,Departamento
11/29/2023,CASEROS,Venta,"-58,5634631","-34,6094827",DOL,63472500,70000,,,30,30,11/02/2023,11/02/2024,Local
11/29/2023,CASEROS,Venta,"-58,5507384","-34,6016402",DOL,316455750,349000,4,3,188,213,09/26/2023,03/24/2024,Casa
11/29/2023,CASEROS,Venta,"-58,5634631","-34,6094827",DOL,29922750,33000,1,0,30,33,03/07/2023,12/21/2023,Departamento
11/29/2023,CASEROS,Venta,"-58,5668973","-34,5994379",DOL,49871250,55000,1,1,32,35,10/17/2023,04/14/2024,Departamento
11/29/2023,CASEROS,Venta,"-58,5634629","-34,6094827",DOL,25389000,28000,2,1,52000,52,11/09/2023,12/09/2023,Departamento
11/29/2023,CASEROS,Venta,"-58,5650191","-34,6227073",DOL,68006250,75000,3,2,150,289,11/17/2023,05/15/2024,Casa
11/29/2023,CASEROS,Venta,"-58,5768485","-34,6115157",DOL,63472500,70000,3,2,100,140,02/02/2023,12/16/2023,Casa
11/29/2023,CASEROS,Venta,"-58,5643356","-34,6050369",DOL,108810000,120000,,,43,43,11/17/2023,11/16/2024,Local
11/29/2023,CASEROS,Venta,"-58,549697","-34,6152374",DOL,90675000,100000,3,2,67,167,11/17/2023,05/15/2024,Departamento
11/29/2023,CASEROS,Venta,"-58,5680257","-34,5936291",DOL,31736250,35000,0,,46,46,11/17/2023,11/16/2024,Oficina
11/29/2023,CASEROS,Venta,"-58,5630422","-34,6061066",DOL,75260250,83000,3,2,79,82,10/12/2023,04/09/2024,Departamento
