TIM_DAY,ITE_ADD_NEIGHBORHOOD_NAME,OPERACION,LONGITUDE,LATITUDE,SIT_CURRENCY_ID,ITE_SITE_CURRENT_PRICE,ITE_BASE_CURRENT_PRICE,Ambientes,Dormitorios,SConstrM2,STotalM2,ITE_AUCTION_START,ITE_AUCTION_STOP,TIPOPROPIEDAD
11/25/2023,,Venta,"-58,5728416","-34,6051292",DOL,"54.546.437,50","59.900,00",2,1,60,60,07/13/2023,01/09/2024,Departamento
11/25/2023,CASEROS,Venta,"-58,5716658","-34,6211651",DOL,"91.062.500,00","100.000,00",3,2,95,300,10/25/2023,04/23/2024,Casa
11/22/2023,CASEROS,Venta,"-58,5643356","-34,6050369",DOL,"45.758.906,25","50.250,00",1,0,35,38,11/21/2023,05/19/2024,Departamento
11/25/2023,CASEROS,Venta,"-58,5692174","-34,6069041",DOL,"93.794.375,00","103.000,00",3,2,96,105,10/31/2023,04/28/2024,Departamento
11/25/2023,CASEROS,Venta,"-58,5641969","-34,604983",DOL,"45.075.937,50","49.500,00",1,1,25,27,11/09/2023,12/09/2023,Departamento
11/25/2023,CASEROS,Alquiler,"-58,567538","-34,5948896",ARG,"170.000,00","475,39",2,1,36,38,09/27/2023,12/26/2023,Departamento
11/13/2023,CASEROS,Alquiler,"-58,5769614","-34,6130564",ARG,"180.000,00","514,36",3,2,100,140,11/09/2023,02/07/2024,Casa
11/25/2023,,Venta,"-58,5709305","-34,6107369",DOL,"104.721.875,00","115.000,00",4,3,116,128,07/13/2023,01/09/2024,Casa
11/18/2023,CASEROS,Venta,"-58,5651922","-34,6268073",DOL,"75.126.562,50","82.500,00",3,2,64,67,02/07/2023,01/06/2024,Departamento
11/25/2023,CASEROS,Venta,"-58,5634631","-34,6094827",DOL,"50.084.375,00","55.000,00",2,1,30,30,10/25/2023,04/23/2024,Departamento
11/25/2023,,Venta,"-58,5431214","-34,6139764",DOL,"50.084.375,00","55.000,00",3,2,51,54,11/23/2023,05/21/2024,Departamento
11/25/2023,CASEROS,Venta,"-58,5625329","-34,6032116",DOL,"118.381.250,00","130.000,00",4,3,100,110,08/23/2023,02/19/2024,Departamento
11/25/2023,,Venta,"-58,5605344","-34,6056009",DOL,"113.828.125,00","125.000,00",0,2,70,70,09/17/2023,03/15/2024,Departamento
11/25/2023,,Venta,"-58,5599522","-34,5993974",DOL,"77.403.125,00","85.000,00",3,2,47,77,11/16/2023,05/14/2024,Departamento
11/25/2023,CASEROS,Venta,"-58,3815591","-34,6036844",DOL,"168.465.625,00","185.000,00",,,74,74,11/22/2023,11/21/2024,Local
11/22/2023,,Venta,"-58,5669594","-34,6128998",DOL,"91.062.500,00","100.000,00",5,4,140,200,05/28/2023,11/24/2023,Casa
11/17/2023,CASEROS,Venta,"-58,400342","-34,6092276",DOL,"72.394.687,50","79.500,00",3,2,60,63,02/07/2023,01/06/2024,Departamento
11/25/2023,CASEROS,Venta,"-58,5658745","-34,5920564",DOL,"31.871.875,00","35.000,00",1,0,28,30,11/20/2023,05/18/2024,Departamento
11/08/2023,CASEROS,Venta,"-58,5610149","-34,6153168",DOL,"59.190.625,00","65.000,00",2,1,32,32,02/07/2023,12/29/2023,Departamento
11/25/2023,CASEROS,Venta,"-58,5511375","-34,6088819",DOL,"39.156.875,00","43.000,00",0,,21,21,11/17/2023,11/16/2024,Oficina
11/25/2023,CASEROS,Venta,"-58,5662341","-34,6224317",DOL,"81.956.250,00","90.000,00",4,3,157,200,10/25/2023,04/23/2024,Casa
11/25/2023,CASEROS,Venta,"-58,5634631","-34,6094827",DOL,"273.187.500,00","300.000,00",5,4,165,180,10/31/2023,04/28/2024,Departamento
11/25/2023,CASEROS,Venta,"-58,5672417","-34,6020775",DOL,"70.118.125,00","77.000,00",2,1,48,48,09/28/2023,03/26/2024,Departamento
11/25/2023,,Venta,"-58,561142","-34,6070709",DOL,"100.168.750,00","110.000,00",3,2,70,70,01/05/2023,12/11/2023,Departamento
11/25/2023,CASEROS,Venta,"-58,5630422","-34,6061066",DOL,"52.816.250,00","58.000,00",,,48,48,10/25/2023,10/25/2024,Local
11/25/2023,CASEROS,Venta,"-58,5645888","-34,6020502",DOL,"62.833.125,00","69.000,00",2,1,52,55,09/02/2023,03/02/2024,Departamento
11/25/2023,CASEROS,Venta,"-58,5670201","-34,6025461",DOL,"38.246.250,00","42.000,00",1,0,29,29,09/29/2023,03/27/2024,Departamento
11/25/2023,CASEROS,Venta,"-58,5710196","-34,6063354",DOL,"54.637.500,00","60.000,00",2,1,42,45,10/25/2023,04/23/2024,Departamento
11/25/2023,CASEROS,Venta,"-58,5592341","-34,6010648",DOL,"42.799.375,00","47.000,00",1,0,28,28,11/22/2023,05/20/2024,Departamento
11/25/2023,,Venta,"-58,5644677","-34,5991875",DOL,"72.850.000,00","80.000,00",2,1,57,57,06/08/2023,12/05/2023,Departamento
11/25/2023,,Venta,"-58,5634631","-34,6094827",DOL,"35.013.531,25","38.450,00",1,0,34,40,11/14/2023,05/12/2024,Departamento
11/05/2023,CASEROS,Venta,"-58,5750354","-34,6217502",DOL,"99.258.125,00","109.000,00",5,3,160,501,09/20/2023,03/17/2024,Casa
11/25/2023,CASEROS,Venta,"-58,5643356","-34,6050369",DOL,"47.625.687,50","52.300,00",2,1,31,40,11/17/2023,05/15/2024,Departamento
11/25/2023,CASEROS,Venta,"-58,5591673","-34,6014829",DOL,"45.531.250,00","50.000,00",2,1,40,44,11/15/2023,05/13/2024,Departamento
11/10/2023,,Venta,"-58,5595815","-34,6033726",DOL,"90.413.224,38","99.287,00",3,2,66,66,05/16/2023,11/12/2023,Departamento
11/25/2023,CASEROS,Venta,"-58,5654538","-34,6026761",DOL,"60.101.250,00","66.000,00",1,0,30,33,11/17/2023,05/15/2024,Departamento
11/25/2023,CASEROS,Venta,"-58,569133","-34,6060983",DOL,"72.850.000,00","80.000,00",2,1,48,51,10/25/2023,04/23/2024,Departamento
11/25/2023,,Venta,"-58,5580202","-34,6069903",DOL,"12.748.750,00","14.000,00",1,1,26,26,06/14/2023,12/11/2023,Departamento
11/25/2023,CASEROS,Alquiler,"-58,5634631","-34,6094827",ARG,"60.000,00","167,79",0,,17,17,11/17/2023,11/16/2024,Oficina
11/18/2023,CASEROS,Venta,"-58,5651454","-34,5975164",DOL,"65.704.325,63","72.153,00",1,0,30,49,07/07/2023,01/13/2024,Departamento
11/25/2023,CASEROS,Venta,"-58,5767591","-34,6104763",DOL,"118.290.187,50","129.900,00",4,3,116,128,11/22/2023,05/20/2024,Casa
11/25/2023,,Venta,"-58,560543","-34,6074239",DOL,"86.873.625,00","95.400,00",3,2,88,103,10/24/2023,04/21/2024,Departamento
11/25/2023,,Venta,"-58,5654538","-34,6026761",DOL,"104.721.875,00","115.000,00",2,1,62,62,06/08/2023,12/05/2023,Departamento
11/06/2023,,Venta,"-58,5616451","-34,6080853",DOL,"81.045.625,00","89.000,00",2,1,55,57,06/08/2022,11/08/2023,Departamento
11/25/2023,CASEROS,Venta,"-58,573898","-34,607351",DOL,"245.868.750,00","270.000,00",4,3,160,433,09/20/2023,03/17/2024,Casa
