nombre,dolaresm2tot,geometry
Santos Lugares,442.67,"c(-58.550528, -34.599636)"
Caseros,363.64,"c(-58.555256, -34.620116)"
Caseros,2142.86,"c(-58.562222, -34.609027)"
Caseros,242.42,"c(-58.553071, -34.620654)"
Santos Lugares,717.95,"c(-58.553508, -34.599211)"
Caseros,2205.88,"c(-58.562222, -34.609016)"
Santos Lugares,451.61,"c(-58.550528, -34.599636)"
Santos Lugares,2314.81,"c(-58.539914, -34.599325)"
Ciudad Jardín Lomas del Palomar,429.18,"c(-58.60177, -34.589498)"
Caseros,412.7,"c(-58.569587, -34.613915)"
Caseros,2321.43,"c(-58.567776, -34.607407)"
Caseros,273.04,"c(-58.576555, -34.619906)"
Sáenz Peña,2965.27,"c(-58.524143, -34.599057)"
Villa Raffo,2307.82,"c(-58.530441, -34.608515)"
Santos Lugares,524.14,"c(-58.549198, -34.595607)"
Santos Lugares,513.16,"c(-58.549198, -34.595607)"
Santos Lugares,524.14,"c(-58.549198, -34.595607)"
Santos Lugares,565.38,"c(-58.549198, -34.595607)"
Santos Lugares,503.57,"c(-58.543769, -34.599782)"
Santos Lugares,410.96,"c(-58.543769, -34.599782)"
Santos Lugares,540,"c(-58.543769, -34.599782)"
Santos Lugares,581.82,"c(-58.549096, -34.59541)"
Santos Lugares,565.38,"c(-58.549198, -34.595607)"
Santos Lugares,581.82,"c(-58.549096, -34.59541)"
Santos Lugares,515.79,"c(-58.549198, -34.595607)"
Santos Lugares,524.14,"c(-58.549198, -34.595607)"
Caseros,372.84,"c(-58.55802, -34.60699)"
Santos Lugares,470.97,"c(-58.543769, -34.599782)"
Sáenz Peña,2964.71,"c(-58.524143, -34.599057)"
Santos Lugares,515.79,"c(-58.549198, -34.595607)"
Santos Lugares,410.42,"c(-58.543769, -34.599782)"
Santos Lugares,402.33,"c(-58.543769, -34.599782)"
Santos Lugares,515.79,"c(-58.549198, -34.595607)"
Santos Lugares,524.14,"c(-58.549198, -34.595607)"
