TIM_DAY,ITE_AUCTION_START_DATETIME,ITE_AUCTION_STOP_DATETIME,DEALER_TYPE_GROUP_DESC,OPERATION,TOTAL_AREA,COVERED_AREA,BEDROOMS,ROOMS,ITE_ITEM_ID,PROPERTY_TYPE,SIT_CURRENCY_ID,ITE_CURRENT_PRICE,PRECIO_LOCAL,ID Final,mes,tc_prom,geometry,dummy_dolar,precio_pesos,precio_dolares,pesosm2tot,dolaresm2tot,pesosm2_cub,dolaresm2_cub,desarrollo prioritario,fid,cod_ent,cod_loc,nombre,zona_venta,zona_alq,digitos_iguales,digitos_iguales_pesos,digitos_iguales_m2tot,borrar
2024-01-11T00:00:00Z,2023-11-16T00:00:00Z,2024-02-14T00:00:00Z,Inmobiliaria,Alquiler,25,25,1,2,NA,Departamento,ARG,80000,80000,2134786729,2024-01,1153.54,"c(-58.6033664, -34.5648047)",FALSE,80000,69.35,3200,2.77,3200,2.77,NA,26,07,06840010,Loma Hermosa,Norte,Norte,FALSE,FALSE,FALSE,FALSE
2024-01-31T00:00:00Z,2024-01-07T00:00:00Z,2024-02-06T00:00:00Z,Fsbo,Alquiler,30,30,0,1,NA,Departamento,ARG,150000,150000,1803194655,2024-01,1153.54,"c(-58.5871572, -34.5897924)",FALSE,150000,130.03,5000,4.33,5000,4.33,NA,20,08,06840010,Martín Coronado,Martín Coronado,Centro,FALSE,FALSE,FALSE,FALSE
2024-01-24T00:00:00Z,2024-01-02T00:00:00Z,2024-04-01T00:00:00Z,Inmobiliaria,Alquiler,55,55,1,2,NA,Departamento,ARG,340000,340000,2234093517,2024-01,1153.54,"c(-58.538989, -34.600291)",FALSE,340000,294.74,6181.82,5.36,6181.82,5.36,NA,29,12,06840010,Sáenz Peña,Sáenz Peña,Este,FALSE,FALSE,TRUE,FALSE
2024-01-31T00:00:00Z,2024-01-05T00:00:00Z,2024-02-04T00:00:00Z,Fsbo,Alquiler,57,54,1,2,NA,Departamento,ARG,380000,380000,2241193085,2024-01,1153.54,"c(-58.5644433, -34.6001115)",FALSE,380000,329.42,6666.67,5.78,7037.04,6.1,DP,18,01,06840010,Caseros,Caseros,Caseros,FALSE,FALSE,FALSE,FALSE
2024-01-31T00:00:00Z,2024-01-16T00:00:00Z,2024-04-15T00:00:00Z,Inmobiliaria,Alquiler,36,34,0,1,NA,Departamento,ARG,230000,230000,1805687947,2024-01,1153.54,"c(-58.593919, -34.583935)",FALSE,230000,199.39,6388.89,5.54,6764.71,5.86,NA,20,08,06840010,Martín Coronado,Martín Coronado,Centro,FALSE,FALSE,FALSE,FALSE
2024-01-31T00:00:00Z,2024-01-29T00:00:00Z,2024-04-28T00:00:00Z,Inmobiliaria,Alquiler,45,45,1,2,NA,Departamento,ARG,240000,240000,2298241293,2024-01,1153.54,"c(-58.5957621, -34.5806812)",FALSE,240000,208.06,5333.33,4.62,5333.33,4.62,NA,20,08,06840010,Martín Coronado,Martín Coronado,Centro,FALSE,FALSE,FALSE,FALSE
2024-01-18T00:00:00Z,2023-12-30T00:00:00Z,2024-03-29T00:00:00Z,Inmobiliaria,Alquiler,50,42,1,2,NA,Departamento,ARG,180000,180000,1801406571,2024-01,1153.54,"c(-58.5859568, -34.5847714)",FALSE,180000,156.04,3600,3.12,4285.71,3.72,NA,20,08,06840010,Martín Coronado,Martín Coronado,Centro,FALSE,FALSE,FALSE,FALSE
2024-01-28T00:00:00Z,2024-01-05T00:00:00Z,2024-04-04T00:00:00Z,Inmobiliaria,Alquiler,55,50,1,2,NA,Departamento,ARG,230000,230000,1802875887,2024-01,1153.54,"c(-58.592999, -34.6072754)",FALSE,230000,199.39,4181.82,3.63,4600,3.99,NA,19,03,06840010,Ciudad Jardín Lomas del Palomar,Ciudad Jardín Lomas del Palomar,Centro,FALSE,FALSE,TRUE,FALSE
2024-01-21T00:00:00Z,2024-01-04T00:00:00Z,2024-04-03T00:00:00Z,Inmobiliaria,Alquiler,38,38,1,2,NA,Departamento,ARG,180000,180000,2239108769,2024-01,1153.54,"c(-58.529378, -34.653028)",FALSE,180000,156.04,4736.84,4.11,4736.84,4.11,DP,30,04,06840010,Ciudadela,Ciudadela,Sur,FALSE,FALSE,FALSE,FALSE
2024-01-31T00:00:00Z,2024-01-12T00:00:00Z,2024-04-11T00:00:00Z,Inmobiliaria,Alquiler,36,36,0,0,NA,Departamento,ARG,200000,200000,1804527275,2024-01,1153.54,"c(-58.6095467, -34.5616623)",FALSE,200000,173.38,5555.56,4.82,5555.56,4.82,NA,27,05,06840010,El Libertador,Norte,Norte,FALSE,FALSE,FALSE,FALSE
2024-01-23T00:00:00Z,2024-01-17T00:00:00Z,2024-02-16T00:00:00Z,Fsbo,Alquiler,40,38,1,2,NA,Departamento,ARG,210000,210000,2268237457,2024-01,1153.54,"c(-58.5679473, -34.5887319)",FALSE,210000,182.05,5250,4.55,5526.32,4.79,NA,22,14,06840010,Villa Bosch,Villa Bosch,Centro,FALSE,FALSE,FALSE,FALSE
2024-01-31T00:00:00Z,2024-01-28T00:00:00Z,2024-02-27T00:00:00Z,Fsbo,Alquiler,35,30,1,1,NA,Departamento,ARG,195000,195000,1810314243,2024-01,1153.54,"c(-58.5645028, -34.5898633)",FALSE,195000,169.04,5571.43,4.83,6500,5.63,NA,22,14,06840010,Villa Bosch,Villa Bosch,Centro,FALSE,FALSE,FALSE,FALSE
