TIM_DAY,ITE_AUCTION_START_DATETIME,ITE_AUCTION_STOP_DATETIME,DEALER_TYPE_GROUP_DESC,OPERATION,TOTAL_AREA,COVERED_AREA,BEDROOMS,ROOMS,ITE_ITEM_ID,PROPERTY_TYPE,SIT_CURRENCY_ID,ITE_CURRENT_PRICE,PRECIO_LOCAL,ID Final,mes,tc_prom,geometry,dummy_dolar,precio_pesos,precio_dolares,pesosm2tot,dolaresm2tot,pesosm2_cub,dolaresm2_cub,desarrollo prioritario,fid,cod_ent,cod_loc,nombre,zona_venta,zona_alq,digitos_iguales,digitos_iguales_pesos,digitos_iguales_m2tot,borrar
2024-05-01T00:00:00Z,2024-04-29T10:28:14Z,2024-05-29T00:00:00Z,Fsbo,Alquiler,60,60,2,3,NA,Departamento,ARG,280000,280000,2511655401,2024-05,1184.43,"c(-58.6001194, -34.5810572)",FALSE,280000,236.4,4666.67,3.94,4666.67,3.94,NA,20,08,06840010,Martín Coronado,Martín Coronado,Centro,FALSE,FALSE,FALSE,FALSE
2024-05-17T00:00:00Z,2024-05-15T12:32:08Z,2024-08-13T00:00:00Z,Inmobiliaria,Alquiler,31,29,0,1,NA,Departamento,ARG,200000,200000,2547245509,2024-05,1184.43,"c(-58.5289642, -34.6001849)",FALSE,200000,168.86,6451.61,5.45,6896.55,5.82,NA,29,12,06840010,Sáenz Peña,Sáenz Peña,Este,FALSE,FALSE,FALSE,FALSE
2024-05-01T00:00:00Z,2024-03-28T13:27:04Z,2024-06-26T00:00:00Z,Inmobiliaria,Alquiler,50,50,2,3,NA,Departamento,ARG,270000,270000,1836434399,2024-05,1184.43,"c(-58.5920997, -34.598837)",FALSE,270000,227.96,5400,4.56,5400,4.56,NA,19,03,06840010,Ciudad Jardín Lomas del Palomar,Ciudad Jardín Lomas del Palomar,Centro,FALSE,FALSE,FALSE,FALSE
2024-05-07T00:00:00Z,2024-05-01T13:31:19Z,2024-07-30T00:00:00Z,Inmobiliaria,Alquiler,47,35,1,2,NA,Departamento,ARG,135000,135000,1848440223,2024-05,1184.43,"c(-58.5739687, -34.5888161)",FALSE,135000,113.98,2872.34,2.43,3857.14,3.26,DP,22,14,06840010,Villa Bosch,Villa Bosch,Centro,FALSE,FALSE,FALSE,FALSE
2024-05-28T00:00:00Z,2024-05-27T17:49:33Z,2024-08-25T00:00:00Z,Inmobiliaria,Alquiler,33,28,0,1,NA,Departamento,ARG,230000,230000,2575965233,2024-05,1184.43,"c(-58.524202, -34.599775)",FALSE,230000,194.19,6969.7,5.88,8214.29,6.94,DP,29,12,06840010,Sáenz Peña,Sáenz Peña,Este,FALSE,FALSE,TRUE,FALSE
2024-05-30T00:00:00Z,2024-05-24T06:59:16Z,2024-06-23T00:00:00Z,Fsbo,Alquiler,60,60,2,3,NA,Departamento,ARG,250000,250000,2569087149,2024-05,1184.43,"c(-58.6119284, -34.5798614)",FALSE,250000,211.07,4166.67,3.52,4166.67,3.52,NA,24,10,06840010,Pablo Podestá,Norte,Norte,FALSE,FALSE,FALSE,FALSE
2024-05-26T00:00:00Z,2024-05-14T09:44:06Z,2024-08-12T17:57:54Z,Inmobiliaria,Alquiler,54,50,1,2,NA,Departamento,ARG,250000,250000,1852962467,2024-05,1184.43,"c(-58.5709652, -34.5908489)",FALSE,250000,211.07,4629.63,3.91,5000,4.22,DP,22,14,06840010,Villa Bosch,Villa Bosch,Centro,FALSE,FALSE,FALSE,FALSE
2024-05-30T00:00:00Z,2024-05-27T09:45:46Z,2024-08-25T00:00:00Z,Inmobiliaria,Alquiler,51,42,1,2,NA,Departamento,DOL,350,312725,2574575185,2024-05,1184.43,"c(-58.5252889, -34.6003491)",TRUE,414550.5,350,8128.44,6.86,9870.25,8.33,DP,29,12,06840010,Sáenz Peña,Sáenz Peña,Este,FALSE,FALSE,FALSE,FALSE
2024-05-05T00:00:00Z,2024-04-30T15:29:16Z,2024-07-29T00:00:00Z,Inmobiliaria,Alquiler,50,48,1,2,NA,Departamento,ARG,210000,210000,2514570145,2024-05,1184.43,"c(-58.5664441, -34.6022082)",FALSE,210000,177.3,4200,3.55,4375,3.69,DP,18,01,06840010,Caseros,Caseros,Caseros,FALSE,FALSE,FALSE,FALSE
2024-05-14T00:00:00Z,2024-05-14T01:05:27Z,2024-08-11T00:00:00Z,Inmobiliaria,Alquiler,49,45,1,2,NA,Departamento,ARG,350000,350000,1852876455,2024-05,1184.43,"c(-58.5645105, -34.6020552)",FALSE,350000,295.5,7142.86,6.03,7777.78,6.57,DP,18,01,06840010,Caseros,Caseros,Caseros,FALSE,FALSE,FALSE,FALSE
