TIM_DAY,ITE_AUCTION_START_DATETIME,ITE_AUCTION_STOP_DATETIME,DEALER_TYPE_GROUP_DESC,OPERATION,TOTAL_AREA,COVERED_AREA,BEDROOMS,ROOMS,ITE_ITEM_ID,PROPERTY_TYPE,SIT_CURRENCY_ID,ITE_CURRENT_PRICE,PRECIO_LOCAL,ID Final,mes,tc_prom,geometry,dummy_dolar,precio_pesos,precio_dolares,pesosm2tot,dolaresm2tot,pesosm2_cub,dolaresm2_cub,desarrollo prioritario,fid,cod_ent,cod_loc,nombre,zonas,Ambientes,digitos_iguales,digitos_iguales_pesos,digitos_iguales_m2tot,borrar
2024-08-25T00:00:00Z,2024-08-20T01:05:52.862000,45613.0,Inmobiliaria,Alquiler,50,46,2,3,NA,Departamento,ARG,450000,450000.0,2775647389,2024-08,1295.36,"c(-58.5317244, -34.6077677)",FALSE,450000,347.39,9000,6.95,9782.61,7.55,NA,16,15,06840010,Villa Raffo,Sur,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-18T00:00:00Z,2024-08-06T15:34:04.786000,45600.0,Inmobiliaria,Alquiler,50,50,2,3,NA,Departamento,ARG,400000,400000.0,1883437243,2024-08,1295.36,"c(-58.539086, -34.601515)",FALSE,400000,308.79,8000,6.18,8000,6.18,DP,21,13,06840010,Santos Lugares,Este,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-21T00:00:00Z,2024-08-13T21:22:59.708000,45607.0,Inmobiliaria,Alquiler,40,40,1,2,NA,Departamento,ARG,190000,190000.0,2764648177,2024-08,1295.36,"c(-58.5901694, -34.5883276)",FALSE,190000,146.68,4750,3.67,4750,3.67,DP,20,08,06840010,Martín Coronado,Centro,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-19T00:00:00Z,2024-08-14T21:56:19.509000,45548.0,Fsbo,Alquiler,30,28,0,1,NA,Departamento,ARG,230000,230000.0,1886949331,2024-08,1295.36,"c(-58.5387397, -34.6034196)",FALSE,230000,177.56,7666.67,5.92,8214.29,6.34,DP,21,13,06840010,Santos Lugares,Este,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-18T00:00:00Z,2024-08-06T22:03:02.593000,45540.0,Fsbo,Alquiler,40,40,1,1,NA,Departamento,ARG,285000,285000.0,1883524839,2024-08,1295.36,"c(-58.5379601, -34.6443593)",FALSE,285000,220.02,7125,5.5,7125,5.5,NA,30,04,06840010,Ciudadela,Sur,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-11T00:00:00Z,2024-08-02T13:46:52.150000,45536.0,Fsbo,Alquiler,48,46,1,2,NA,Departamento,ARG,350000,350000.0,1881176895,2024-08,1295.36,"c(-58.5269194, -34.602794)",FALSE,350000,270.2,7291.67,5.63,7608.7,5.87,DP,29,12,06840010,Sáenz Peña,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-10T00:00:00Z,2024-08-06T01:13:22.800000,2024-09-05T00:04:29.549000,Fsbo,Alquiler,100,83,2,3,NA,Departamento,ARG,350000,350000.0,2746922309,2024-08,1295.36,"c(-58.599813, -34.5660584)",FALSE,350000,270.2,3500,2.7,4216.87,3.26,NA,26,07,06840010,Loma Hermosa,Norte,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-03T00:00:00Z,2024-07-15T15:12:40.440000,45518.0,Fsbo,Alquiler,50,50,1,2,NA,Departamento,ARG,240000,240000.0,1875498539,2024-08,1295.36,"c(-58.5771912, -34.5989566)",FALSE,240000,185.28,4800,3.71,4800,3.71,NA,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-07T00:00:00Z,2024-06-04T13:29:23.255000,45537.0,Inmobiliaria,Alquiler,37,35,1,2,NA,Departamento,ARG,300000,300000.0,1861174747,2024-08,1295.36,"c(-58.526919, -34.602794)",FALSE,300000,231.6,8108.11,6.26,8571.43,6.62,DP,29,12,06840010,Sáenz Peña,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-18T00:00:00Z,2024-08-12T15:39:34.330000,45606.0,Inmobiliaria,Alquiler,60,60,2,3,NA,Departamento,ARG,450000,450000.0,1885629035,2024-08,1295.36,"c(-58.5467344, -34.5990645)",FALSE,450000,347.39,7500,5.79,7500,5.79,NA,21,13,06840010,Santos Lugares,Este,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
