TIM_DAY,ITE_AUCTION_START_DATETIME,ITE_AUCTION_STOP_DATETIME,DEALER_TYPE_GROUP_DESC,OPERATION,TOTAL_AREA,COVERED_AREA,BEDROOMS,ROOMS,PROPERTY_TYPE,SIT_CURRENCY_ID,ITE_CURRENT_PRICE,PRECIO_LOCAL,ID.Final,mes,tc_prom,geometry,dummy_dolar,precio_pesos,precio_dolares,pesosm2tot,dolaresm2tot,pesosm2_cub,dolaresm2_cub,desarrollo prioritario,fid,cod_ent,cod_loc,nombre,zonas,Ambientes,digitos_iguales,digitos_iguales_pesos,digitos_iguales_m2tot,borrar
2024-09-27T00:00:00Z,"2024-08-30T08:54:08,188000",45564,Fsbo,Venta,224,97,2,4,Casa,DOL,79000,76511500,897473083,2024-09,1229.23,"c(-58.5782831, -34.6074271)",TRUE,97109170,79000,433523.08,352.68,1001125.46,814.43,NA,18,01,06840010,Caseros,Caseros,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-09-29T00:00:00Z,"2024-09-28T16:12:45,606000",45593,Fsbo,Venta,230,180,4,5,Casa,DOL,229000,222130000,921956457,2024-09,1229.23,"c(-58.5342323, -34.6326568)",TRUE,281493670,229000,1223885.52,995.65,1563853.72,1272.22,NA,30,04,06840010,Ciudadela,Sur,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-09-29T00:00:00Z,"2024-06-13T22:13:48,867000",45726,Inmobiliaria,Venta,300,200,6,5,Casa,DOL,160000,155200000,809776757,2024-09,1229.23,"c(-58.5713758, -34.5989043)",TRUE,196676800,160000,655589.33,533.33,983384,800,NA,18,01,06840010,Caseros,Caseros,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-09-29T00:00:00Z,"2024-06-13T22:12:11,863000",45726,Inmobiliaria,Venta,220,150,3,4,Casa,DOL,150000,145500000,432725030,2024-09,1229.23,"c(-58.5781594, -34.5841284)",TRUE,184384500,150000,838111.36,681.82,1229230,1000,NA,22,14,06840010,Villa Bosch,Centro,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-09-09T00:00:00Z,"2024-06-13T14:34:16,732000",45726,Inmobiliaria,Venta,300,160,3,5,Casa,DOL,170000,162860000,809713925,2024-09,1229.23,"c(-58.5777659, -34.5803057)",TRUE,208969100,170000,696563.67,566.67,1306056.88,1062.5,NA,22,14,06840010,Villa Bosch,Centro,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-09-29T00:00:00Z,"2024-06-13T22:12:09,558000",45726,Inmobiliaria,Venta,200,200,3,4,Casa,DOL,150000,145500000,809860729,2024-09,1229.23,"c(-58.5838509, -34.5882552)",TRUE,184384500,150000,921922.5,750,921922.5,750,NA,20,08,06840010,Martín Coronado,Centro,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-09-29T00:00:00Z,"2024-06-13T22:14:29,446000",45726,Inmobiliaria,Venta,265,100,2,3,Casa,DOL,140000,135800000,432688152,2024-09,1229.23,"c(-58.5976116, -34.5857086)",TRUE,172092200,140000,649404.53,528.3,1720922,1400,NA,20,08,06840010,Martín Coronado,Centro,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-09-29T00:00:00Z,"2024-06-13T22:12:50,895000",45726,Inmobiliaria,Venta,200,100,2,3,Casa,DOL,140000,135800000,432712096,2024-09,1229.23,"c(-58.5862805, -34.5806379)",TRUE,172092200,140000,860461,700,1720922,1400,NA,22,14,06840010,Villa Bosch,Centro,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-09-29T00:00:00Z,"2024-07-03T18:53:30,405000",45746,Inmobiliaria,Venta,100,60,2,3,Casa,DOL,70000,67900000,435946568,2024-09,1229.23,"c(-58.5844609, -34.5934261)",TRUE,86046100,70000,860461,700,1434101.67,1166.67,NA,20,08,06840010,Martín Coronado,Centro,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-09-29T00:00:00Z,"2024-06-13T22:14:16,505000",45726,Inmobiliaria,Venta,250,90,2,3,Casa,DOL,120000,116400000,432712124,2024-09,1229.23,"c(-58.5806415, -34.5888925)",TRUE,147507600,120000,590030.4,480,1638973.33,1333.33,NA,20,08,06840010,Martín Coronado,Centro,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
