TIM_DAY,ITE_AUCTION_START_DATETIME,ITE_AUCTION_STOP_DATETIME,DEALER_TYPE_GROUP_DESC,OPERATION,TOTAL_AREA,COVERED_AREA,BEDROOMS,ROOMS,ITE_ITEM_ID,PROPERTY_TYPE,SIT_CURRENCY_ID,ITE_CURRENT_PRICE,PRECIO_LOCAL,ID Final,mes,tc_prom,geometry,dummy_dolar,precio_pesos,precio_dolares,pesosm2tot,dolaresm2tot,pesosm2_cub,dolaresm2_cub,desarrollo prioritario,fid,cod_ent,cod_loc,nombre,zona_venta,zona_alq,digitos_iguales,digitos_iguales_pesos,digitos_iguales_m2tot,borrar
2024-06-22T00:00:00Z,2024-05-21 16:00:02.007,2024-08-19 16:59:33.405,Inmobiliaria,Alquiler,45,45,1,2,NA,Departamento,ARG,300000,300000,2562529713,2024-06,1281.36,"c(-58.5915502, -34.5975349)",FALSE,300000,234.13,6666.67,5.2,6666.67,5.2,NA,19,03,06840010,Ciudad Jardín Lomas del Palomar,Ciudad Jardín Lomas del Palomar,Centro,FALSE,FALSE,FALSE,FALSE
2024-06-28T00:00:00Z,2024-06-14 09:42:16.943,2024-09-12 00:00:00,Inmobiliaria,Alquiler,45,45,1,2,NA,Departamento,ARG,280000,280000,1865660627,2024-06,1281.36,"c(-58.5705929, -34.5889874)",FALSE,280000,218.52,6222.22,4.86,6222.22,4.86,DP,22,14,06840010,Villa Bosch,Villa Bosch,Centro,FALSE,FALSE,FALSE,FALSE
2024-06-18T00:00:00Z,2024-05-20 17:35:46,2024-08-18 00:00:00,Inmobiliaria,Alquiler,58,54,1,2,NA,Departamento,ARG,350000,350000,2560025245,2024-06,1281.36,"c(-58.5455218, -34.598546)",FALSE,350000,273.15,6034.48,4.71,6481.48,5.06,NA,21,13,06840010,Santos Lugares,Santos Lugares,Este,FALSE,FALSE,FALSE,FALSE
2024-06-29T00:00:00Z,2024-06-17 20:51:26.754,2024-09-15 00:00:00,Inmobiliaria,Alquiler,32,30,0,1,NA,Departamento,ARG,185000,185000,1866684695,2024-06,1281.36,"c(-58.5925316, -34.5874154)",FALSE,185000,144.38,5781.25,4.51,6166.67,4.81,NA,20,08,06840010,Martín Coronado,Martín Coronado,Centro,FALSE,FALSE,FALSE,FALSE
2024-06-29T00:00:00Z,2024-06-02 21:52:38.411,2024-08-31 00:00:00,Inmobiliaria,Alquiler,60,55,1,2,NA,Departamento,ARG,260000,260000,2591656181,2024-06,1281.36,"c(-58.5597903, -34.6081289)",FALSE,260000,202.91,4333.33,3.38,4727.27,3.69,DP,18,01,06840010,Caseros,Caseros,Caseros,FALSE,FALSE,FALSE,FALSE
2024-06-29T00:00:00Z,2024-04-23 15:45:04,2024-09-10 00:00:00,Inmobiliaria,Alquiler,40,40,1,2,NA,Departamento,ARG,230000,230000,1846203303,2024-06,1281.36,"c(-58.5693647, -34.5927147)",FALSE,230000,179.5,5750,4.49,5750,4.49,NA,22,14,06840010,Villa Bosch,Villa Bosch,Centro,FALSE,FALSE,FALSE,FALSE
2024-06-29T00:00:00Z,2024-06-19 16:00:04.687,2025-03-16 00:00:00,Inmobiliaria,Alquiler,41,39,1,2,NA,Departamento,ARG,330000,330000,1867408199,2024-06,1281.36,"c(-58.5311126, -34.60269)",FALSE,330000,257.54,8048.78,6.28,8461.54,6.6,DP,29,12,06840010,Sáenz Peña,Sáenz Peña,Este,FALSE,FALSE,FALSE,FALSE
2024-06-17T00:00:00Z,2024-05-13 11:23:03,2024-08-11 00:00:00,Inmobiliaria,Alquiler,29,29,0,1,NA,Departamento,ARG,220000,220000,2541988753,2024-06,1281.36,"c(-58.545299, -34.5967478)",FALSE,220000,171.69,7586.21,5.92,7586.21,5.92,NA,21,13,06840010,Santos Lugares,Santos Lugares,Este,FALSE,FALSE,FALSE,FALSE
2024-06-29T00:00:00Z,2024-06-07 00:13:48.467,2024-09-04 00:00:00,Inmobiliaria,Alquiler,30,28,0,1,NA,Departamento,ARG,190000,190000,2602734513,2024-06,1281.36,"c(-58.5925317, -34.5874153)",FALSE,190000,148.28,6333.33,4.94,6785.71,5.3,NA,20,08,06840010,Martín Coronado,Martín Coronado,Centro,FALSE,FALSE,FALSE,FALSE
2024-06-15T00:00:00Z,2024-06-10 15:09:10.002,2024-07-10 00:00:00,Fsbo,Alquiler,40,35,1,2,NA,Departamento,ARG,180000,180000,2610855229,2024-06,1281.36,"c(-58.5396674, -34.6356928)",FALSE,180000,140.48,4500,3.51,5142.86,4.01,NA,30,04,06840010,Ciudadela,Ciudadela,Sur,FALSE,FALSE,FALSE,FALSE
2024-06-07T00:00:00Z,2024-05-10 17:59:03,2024-08-08 00:00:00,Inmobiliaria,Alquiler,45,45,1,2,NA,Departamento,ARG,220000,220000,1851971815,2024-06,1281.36,"c(-58.5553497, -34.5956663)",FALSE,220000,171.69,4888.89,3.82,4888.89,3.82,NA,18,01,06840010,Caseros,Caseros,Caseros,FALSE,FALSE,FALSE,FALSE
2024-06-02T00:00:00Z,2024-05-13 22:06:22,2024-06-12 00:00:00,Fsbo,Alquiler,74,72,2,3,NA,Departamento,ARG,390000,390000,1852821619,2024-06,1281.36,"c(-58.5669281, -34.6089052)",FALSE,390000,304.36,5270.27,4.11,5416.67,4.23,DP,18,01,06840010,Caseros,Caseros,Caseros,FALSE,FALSE,FALSE,FALSE
2024-06-05T00:00:00Z,2024-05-24 06:59:16,2024-06-23 00:00:00,Fsbo,Alquiler,60,60,2,3,NA,Departamento,ARG,250000,250000,2569087149,2024-06,1281.36,"c(-58.6119284, -34.5798614)",FALSE,250000,195.11,4166.67,3.25,4166.67,3.25,NA,24,10,06840010,Pablo Podestá,Norte,Norte,FALSE,FALSE,FALSE,FALSE
2024-06-29T00:00:00Z,2024-06-26 17:38:02.926,2024-09-24 00:00:00,Inmobiliaria,Alquiler,80,80,2,3,NA,Departamento,ARG,270000,270000,1869496283,2024-06,1281.36,"c(-58.5939852, -34.5661688)",FALSE,270000,210.71,3375,2.63,3375,2.63,NA,26,07,06840010,Loma Hermosa,Norte,Norte,FALSE,FALSE,FALSE,FALSE
2024-06-02T00:00:00Z,2024-05-06 11:45:15,2024-08-14 10:33:31,Inmobiliaria,Alquiler,45,40,1,2,NA,Departamento,ARG,265000,265000,1849970731,2024-06,1281.36,"c(-58.5437902, -34.6370577)",FALSE,265000,206.81,5888.89,4.6,6625,5.17,NA,30,04,06840010,Ciudadela,Ciudadela,Sur,FALSE,FALSE,FALSE,FALSE
