TIM_DAY,ITE_AUCTION_START_DATETIME,ITE_AUCTION_STOP_DATETIME,DEALER_TYPE_GROUP_DESC,OPERATION,TOTAL_AREA,COVERED_AREA,BEDROOMS,ROOMS,ITE_ITEM_ID,PROPERTY_TYPE,SIT_CURRENCY_ID,ITE_CURRENT_PRICE,PRECIO_LOCAL,ID Final,mes,tc_prom,geometry,dummy_dolar,precio_pesos,precio_dolares,pesosm2tot,dolaresm2tot,pesosm2_cub,dolaresm2_cub,desarrollo prioritario,fid,cod_ent,cod_loc,nombre,zona_venta,zona_alq,digitos_iguales,digitos_iguales_pesos,digitos_iguales_m2tot,borrar
2024-02-18T00:00:00Z,2024-01-31T11:47:17,2024-05-03T09:49:52,Inmobiliaria,Alquiler,124,120,4,5,NA,Departamento,ARG,300000,300000,2303558385,2024-02,1128.8,"c(-58.5332854, -34.6075337)",FALSE,300000,265.77,2419.35,2.14,2500,2.21,NA,16,15,06840010,Villa Raffo,Villa Raffo,Sur,FALSE,FALSE,FALSE,FALSE
2024-02-16T00:00:00Z,2024-02-02T13:16:24,2024-05-02T00:00:00,Inmobiliaria,Alquiler,44,40,1,0,NA,Departamento,ARG,180000,180000,2312507365,2024-02,1128.8,"c(-58.5674889, -34.6056814)",FALSE,180000,159.46,4090.91,3.62,4500,3.99,DP,18,01,06840010,Caseros,Caseros,Caseros,FALSE,FALSE,TRUE,FALSE
2024-02-15T00:00:00Z,2023-12-13T16:07:27,2024-04-17T00:00:00,Inmobiliaria,Alquiler,40,40,1,2,NA,Departamento,ARG,220000,220000,2196724457,2024-02,1128.8,"c(-58.547266, -34.618287)",FALSE,220000,194.9,5500,4.87,5500,4.87,NA,18,01,06840010,Caseros,Caseros,Caseros,FALSE,FALSE,FALSE,FALSE
2024-02-15T00:00:00Z,2024-02-07T17:34:52,2024-05-07T00:00:00,Inmobiliaria,Alquiler,30,30,1,1,NA,Departamento,ARG,150000,150000,2324003953,2024-02,1128.8,"c(-58.5448406, -34.6377951)",FALSE,150000,132.88,5000,4.43,5000,4.43,NA,30,04,06840010,Ciudadela,Ciudadela,Sur,FALSE,FALSE,FALSE,FALSE
2024-02-29T00:00:00Z,2024-02-27T15:31:43,2024-05-27T00:00:00,Inmobiliaria,Alquiler,50,50,1,2,NA,Departamento,ARG,220000,220000,1823784279,2024-02,1128.8,"c(-58.5722331, -34.5887891)",FALSE,220000,194.9,4400,3.9,4400,3.9,DP,22,14,06840010,Villa Bosch,Villa Bosch,Centro,FALSE,FALSE,FALSE,FALSE
2024-02-06T00:00:00Z,2023-12-27T16:56:43,2024-01-26T00:00:00,Fsbo,Alquiler,44,38,1,2,NA,Departamento,ARG,150000,150000,2225069097,2024-02,1128.8,"c(-58.6135701, -34.5763943)",FALSE,150000,132.88,3409.09,3.02,3947.37,3.5,NA,24,10,06840010,Pablo Podestá,Norte,Norte,FALSE,FALSE,TRUE,FALSE
2024-02-29T00:00:00Z,2024-02-28T10:30:03,2024-05-28T00:00:00,Inmobiliaria,Alquiler,40,40,1,2,NA,Departamento,ARG,180000,180000,1824073467,2024-02,1128.8,"c(-58.599064, -34.5873688)",FALSE,180000,159.46,4500,3.99,4500,3.99,NA,20,08,06840010,Martín Coronado,Martín Coronado,Centro,FALSE,FALSE,FALSE,FALSE
2024-02-15T00:00:00Z,2024-01-18T12:02:41,2024-02-17T00:00:00,Fsbo,Alquiler,50,48,2,1,NA,Departamento,DOL,285,237661.5,2270864637,2024-02,1128.8,"c(-58.5309375, -34.6000075)",TRUE,321708,285,6434.16,5.7,6702.25,5.94,DP,29,12,06840010,Sáenz Peña,Sáenz Peña,Este,FALSE,FALSE,FALSE,FALSE
2024-02-22T00:00:00Z,2024-02-19T17:43:58,2024-05-19T00:00:00,Inmobiliaria,Alquiler,45,42,1,2,NA,Departamento,ARG,280000,280000,2349804509,2024-02,1128.8,"c(-58.5366, -34.599872)",FALSE,280000,248.05,6222.22,5.51,6666.67,5.91,NA,29,12,06840010,Sáenz Peña,Sáenz Peña,Este,FALSE,FALSE,FALSE,FALSE
2024-02-22T00:00:00Z,2024-02-22T16:21:29,2024-05-22T00:00:00,Inmobiliaria,Alquiler,48,44,1,2,NA,Departamento,ARG,230000,230000,2357619449,2024-02,1128.8,"c(-58.5618126, -34.6034078)",FALSE,230000,203.76,4791.67,4.24,5227.27,4.63,DP,18,01,06840010,Caseros,Caseros,Caseros,FALSE,FALSE,FALSE,FALSE
