TIM_DAY,ITE_AUCTION_START_DATETIME,ITE_AUCTION_STOP_DATETIME,DEALER_TYPE_GROUP_DESC,OPERATION,TOTAL_AREA,COVERED_AREA,BEDROOMS,ROOMS,ITE_ITEM_ID,PROPERTY_TYPE,SIT_CURRENCY_ID,ITE_CURRENT_PRICE,PRECIO_LOCAL,ID Final,mes,tc_prom,geometry,dummy_dolar,precio_pesos,precio_dolares,pesosm2tot,dolaresm2tot,pesosm2_cub,dolaresm2_cub,desarrollo prioritario,fid,cod_ent,cod_loc,nombre,zona_venta,zona_alq,digitos_iguales,digitos_iguales_pesos,digitos_iguales_m2tot,borrar
2024-04-01T00:00:00Z,2024-03-15 13:59:06,2024-06-13 00:00:00,Inmobiliaria,Alquiler,80,64,2,0,NA,Departamento,ARG,350000,350000,2410611357,2024-04,1035.92,"c(-58.5525815, -34.5963934)",FALSE,350000,337.86,4375,4.22,5468.75,5.28,NA,21,13,06840010,Santos Lugares,Santos Lugares,Este,FALSE,FALSE,FALSE,FALSE
2024-04-14T00:00:00Z,2024-04-07 20:36:28,2024-07-06 00:00:00,Inmobiliaria,Alquiler,38,35,1,1,NA,Departamento,ARG,180000,180000,2465174065,2024-04,1035.92,"c(-58.5660332, -34.5889144)",FALSE,180000,173.76,4736.84,4.57,5142.86,4.96,NA,22,14,06840010,Villa Bosch,Villa Bosch,Centro,FALSE,FALSE,FALSE,FALSE
2024-04-29T00:00:00Z,2024-04-05 19:11:08,2024-07-04 00:00:00,Inmobiliaria,Alquiler,42,30,0,1,NA,Departamento,ARG,170000,170000,2462776353,2024-04,1035.92,"c(-58.5713778, -34.6068761)",FALSE,170000,164.11,4047.62,3.91,5666.67,5.47,NA,18,01,06840010,Caseros,Caseros,Caseros,FALSE,FALSE,FALSE,FALSE
2024-04-29T00:00:00Z,2024-02-29 12:06:43,2024-05-29 00:00:00,Inmobiliaria,Alquiler,63,63,2,3,NA,Departamento,ARG,400000,400000,1824555903,2024-04,1035.92,"c(-58.5300936, -34.5992231)",FALSE,400000,386.13,6349.21,6.13,6349.21,6.13,NA,29,12,06840010,Sáenz Peña,Sáenz Peña,Este,FALSE,FALSE,FALSE,FALSE
2024-04-29T00:00:00Z,2024-04-12 22:13:26,2024-07-11 00:00:00,Inmobiliaria,Alquiler,27,27,0,1,NA,Departamento,ARG,150000,150000,2478592757,2024-04,1035.92,"c(-58.579107, -34.582114)",FALSE,150000,144.8,5555.56,5.36,5555.56,5.36,NA,22,14,06840010,Villa Bosch,Villa Bosch,Centro,FALSE,FALSE,FALSE,FALSE
2024-04-11T00:00:00Z,2024-03-08 09:45:07,2024-06-06 00:00:00,Inmobiliaria,Alquiler,55,52,2,3,NA,Departamento,ARG,300000,300000,2392427805,2024-04,1035.92,"c(-58.5515476, -34.6364287)",FALSE,300000,289.6,5454.55,5.27,5769.23,5.57,NA,30,04,06840010,Ciudadela,Ciudadela,Sur,FALSE,FALSE,TRUE,FALSE
2024-04-20T00:00:00Z,2024-04-16 19:02:01,2024-05-16 00:00:00,Fsbo,Alquiler,65,65,2,3,NA,Departamento,ARG,350000,350000,2485764801,2024-04,1035.92,"c(-58.5475936, -34.626765)",FALSE,350000,337.86,5384.62,5.2,5384.62,5.2,NA,30,04,06840010,Ciudadela,Ciudadela,Sur,FALSE,FALSE,FALSE,FALSE
2024-04-07T00:00:00Z,2024-04-04 13:14:38,2024-07-03 00:00:00,Inmobiliaria,Alquiler,50,45,2,3,NA,Departamento,ARG,185000,185000,2460488073,2024-04,1035.92,"c(-58.5644596, -34.6151717)",FALSE,185000,178.59,3700,3.57,4111.11,3.97,NA,18,01,06840010,Caseros,Caseros,Caseros,FALSE,FALSE,FALSE,FALSE
2024-04-01T00:00:00Z,2024-03-04 19:12:55,2024-04-03 00:00:00,Fsbo,Alquiler,35,35,2,3,NA,Departamento,ARG,230000,230000,1825642023,2024-04,1035.92,"c(-58.5362949, -34.6341427)",FALSE,230000,222.02,6571.43,6.34,6571.43,6.34,NA,30,04,06840010,Ciudadela,Ciudadela,Sur,FALSE,FALSE,FALSE,FALSE
2024-04-29T00:00:00Z,2024-02-15 16:20:59,2024-05-15 00:00:00,Inmobiliaria,Alquiler,45,45,1,2,NA,Departamento,ARG,160000,160000,2340464973,2024-04,1035.92,"c(-58.5932543, -34.6053355)",FALSE,160000,154.45,3555.56,3.43,3555.56,3.43,NA,19,03,06840010,Ciudad Jardín Lomas del Palomar,Ciudad Jardín Lomas del Palomar,Centro,FALSE,FALSE,FALSE,FALSE
2024-04-07T00:00:00Z,2024-03-10 20:19:53,2024-04-09 00:00:00,Fsbo,Alquiler,42,42,11,2,NA,Departamento,ARG,290000,290000,1827736259,2024-04,1035.92,"c(-58.52472, -34.6010245)",FALSE,290000,279.94,6904.76,6.67,6904.76,6.67,DP,29,12,06840010,Sáenz Peña,Sáenz Peña,Este,FALSE,FALSE,FALSE,FALSE
