TIM_DAY,ITE_AUCTION_START_DATETIME,ITE_AUCTION_STOP_DATETIME,DEALER_TYPE_GROUP_DESC,OPERATION,TOTAL_AREA,COVERED_AREA,BEDROOMS,ROOMS,PROPERTY_TYPE,SIT_CURRENCY_ID,ITE_CURRENT_PRICE,PRECIO_LOCAL,ID.Final,mes,tc_prom,geometry,dummy_dolar,precio_pesos,precio_dolares,pesosm2tot,dolaresm2tot,pesosm2_cub,dolaresm2_cub,desarrollo prioritario,fid,cod_ent,cod_loc,nombre,zonas,Ambientes,digitos_iguales,digitos_iguales_pesos,digitos_iguales_m2tot,borrar
2024-09-29T00:00:00Z,"2024-07-22T16:16:52,760000","2024-10-25T14:58:13,135000",Inmobiliaria,Alquiler,47,47,0,1,Casa,ARG,300000,300000,855301529,2024-09,1229.23,"c(-58.5429553, -34.6138478)",FALSE,300000,244.06,6382.98,5.19,6382.98,5.19,NA,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-09-29T00:00:00Z,"2024-09-04T15:05:32,585000",45569,Fsbo,Alquiler,25,25,0,0,Casa,ARG,200000,200000,448046800,2024-09,1229.23,"c(-58.5811092, -34.6071666)",FALSE,200000,162.7,8000,6.51,8000,6.51,NA,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-09-17T00:00:00Z,"2024-08-06T10:14:46,534000",45600,Inmobiliaria,Alquiler,90,60,3,4,Casa,ARG,320000,320000,874251517,2024-09,1229.23,"c(-58.5813124, -34.58501)",FALSE,320000,260.33,3555.56,2.89,5333.33,4.34,NA,22,14,06840010,Villa Bosch,Centro,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-09-29T00:00:00Z,"2024-06-13T03:23:26,286000",45545,Inmobiliaria,Alquiler,43,40,1,2,Casa,ARG,320000,320000,808886349,2024-09,1229.23,"c(-58.5807159, -34.5856154)",FALSE,320000,260.33,7441.86,6.05,8000,6.51,NA,22,14,06840010,Villa Bosch,Centro,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-09-17T00:00:00Z,"2024-08-20T17:20:48,012000",45614,Inmobiliaria,Alquiler,108,70,2,3,Casa,ARG,700000,700000,444722844,2024-09,1229.23,"c(-58.5864063, -34.598497)",FALSE,700000,569.46,6481.48,5.27,10000,8.14,NA,19,03,06840010,Ciudad Jardín Lomas del Palomar,Centro,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-09-01T00:00:00Z,"2024-08-30T11:02:38,361000",45624,Inmobiliaria,Alquiler,240,130,2,3,Casa,ARG,700000,700000,446767884,2024-09,1229.23,"c(-58.543176, -34.603102)",FALSE,700000,569.46,2916.67,2.37,5384.62,4.38,DP,21,13,06840010,Santos Lugares,Este,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-09-29T00:00:00Z,"2024-09-26T15:32:50,321000",45651,Inmobiliaria,Alquiler,397,310,4,9,Casa,DOL,1300,1261000,920229751,2024-09,1229.23,"c(-58.5924001, -34.5869657)",TRUE,1597999,1300,4025.19,3.27,5154.84,4.19,NA,20,08,06840010,Martín Coronado,Centro,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-09-15T00:00:00Z,"2024-09-10T12:48:18,312000","2024-12-09T12:16:52,111000",Inmobiliaria,Alquiler,95,80,2,3,Casa,ARG,700000,700000,906605165,2024-09,1229.23,"c(-58.5436945, -34.6031912)",FALSE,700000,569.46,7368.42,5.99,8750,7.12,DP,21,13,06840010,Santos Lugares,Este,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-09-29T00:00:00Z,"2024-09-03T11:55:15,815000",45628,Inmobiliaria,Alquiler,100,90,2,3,Casa,ARG,480000,480000,900640599,2024-09,1229.23,"c(-58.593164, -34.57975)",FALSE,480000,390.49,4800,3.9,5333.33,4.34,NA,20,08,06840010,Martín Coronado,Centro,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-09-29T00:00:00Z,"2024-09-23T18:21:13,573000",45648,Inmobiliaria,Alquiler,170,120,3,4,Casa,ARG,850000,850000,451772804,2024-09,1229.23,"c(-58.5894168, -34.5975056)",FALSE,850000,691.49,5000,4.07,7083.33,5.76,NA,19,03,06840010,Ciudad Jardín Lomas del Palomar,Centro,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
