TIM_DAY,ITE_AUCTION_START_DATETIME,ITE_AUCTION_STOP_DATETIME,DEALER_TYPE_GROUP_DESC,OPERATION,TOTAL_AREA,COVERED_AREA,BEDROOMS,ROOMS,ITE_ITEM_ID,PROPERTY_TYPE,SIT_CURRENCY_ID,ITE_CURRENT_PRICE,PRECIO_LOCAL,ID Final,mes,tc_prom,geometry,dummy_dolar,precio_pesos,precio_dolares,pesosm2tot,dolaresm2tot,pesosm2_cub,dolaresm2_cub,desarrollo prioritario,fid,cod_ent,cod_loc,nombre,zonas,Ambientes,digitos_iguales,digitos_iguales_pesos,digitos_iguales_m2tot,borrar
2024-07-23T00:00:00Z,2024-07-22T14:28:01Z,2024-10-20T00:00:00Z,Inmobiliaria,Alquiler,36,34,1,2,NA,Departamento,ARG,280000,280000,1805687947,2024-07,1351.65,"c(-58.5589283, -34.6094639)",FALSE,280000,207.15,7777.78,5.75,8235.29,6.09,DP,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-07-29T00:00:00Z,2024-07-13T11:45:48Z,2024-08-12T00:00:00Z,Fsbo,Alquiler,55,50,2,3,NA,Departamento,ARG,400000,400000,2304696565,2024-07,1351.65,"c(-58.5726183, -34.5913041)",FALSE,400000,295.93,7272.73,5.38,8000,5.92,DP,22,14,06840010,Villa Bosch,Centro,Mas de 3 ambientes,FALSE,FALSE,TRUE,FALSE
2024-07-18T00:00:00Z,2024-07-15T12:38:48Z,2024-08-13T22:51:08Z,Fsbo,Alquiler,27,27,0,1,NA,Departamento,ARG,200000,200000,1801406571,2024-07,1351.65,"c(-58.5598948, -34.6041541)",FALSE,200000,147.97,7407.41,5.48,7407.41,5.48,DP,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-07-30T00:00:00Z,2024-07-23T13:41:41Z,2024-10-21T00:00:00Z,Inmobiliaria,Alquiler,30,25,1,2,NA,Departamento,ARG,200000,200000,1802875887,2024-07,1351.65,"c(-58.6179251, -34.5591043)",FALSE,200000,147.97,6666.67,4.93,8000,5.92,NA,27,05,06840010,El Libertador,Norte,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-07-30T00:00:00Z,2024-07-19T13:46:07Z,2024-10-17T00:00:00Z,Inmobiliaria,Alquiler,37,34,0,1,NA,Departamento,ARG,190000,190000,1803400435,2024-07,1351.65,"c(-58.5871635, -34.5855219)",FALSE,190000,140.57,5135.14,3.8,5588.24,4.13,NA,20,08,06840010,Martín Coronado,Centro,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-07-05T00:00:00Z,2024-07-02T21:35:27Z,2024-09-30T00:00:00Z,Inmobiliaria,Alquiler,43,40,1,2,NA,Departamento,ARG,255000,255000,2239108769,2024-07,1351.65,"c(-58.5768971, -34.5904543)",FALSE,255000,188.66,5930.23,4.39,6375,4.72,NA,20,08,06840010,Martín Coronado,Centro,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-07-10T00:00:00Z,2024-06-28T01:05:42Z,2024-09-25T00:00:00Z,Inmobiliaria,Alquiler,32,28,0,1,NA,Departamento,ARG,220000,220000,1804527275,2024-07,1351.65,"c(-58.556848, -34.6095596)",FALSE,220000,162.76,6875,5.09,7857.14,5.81,NA,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-07-17T00:00:00Z,2024-06-26T17:38:02Z,2024-09-24T00:00:00Z,Inmobiliaria,Alquiler,80,80,2,3,NA,Departamento,ARG,270000,270000,2268237457,2024-07,1351.65,"c(-58.5939852, -34.5661688)",FALSE,270000,199.76,3375,2.5,3375,2.5,NA,26,07,06840010,Loma Hermosa,Norte,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-07-30T00:00:00Z,2024-07-06T12:42:47Z,2024-10-06T13:49:04Z,Inmobiliaria,Alquiler,47,47,1,2,NA,Departamento,ARG,325000,325000,1802313223,2024-07,1351.65,"c(-58.540255, -34.602885)",FALSE,325000,240.45,6914.89,5.12,6914.89,5.12,DP,21,13,06840010,Santos Lugares,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-07-09T00:00:00Z,2024-06-04T18:47:52Z,2024-09-02T00:00:00Z,Inmobiliaria,Alquiler,33,30,0,1,NA,Departamento,ARG,190000,190000,2243358181,2024-07,1351.65,"c(-58.5925316, -34.5874154)",FALSE,190000,140.57,5757.58,4.26,6333.33,4.69,NA,20,08,06840010,Martín Coronado,Centro,1 ambiente,FALSE,FALSE,TRUE,FALSE
2024-07-25T00:00:00Z,2024-06-25T15:14:47Z,2024-09-23T00:00:00Z,Inmobiliaria,Alquiler,30,30,1,2,NA,Departamento,ARG,250000,250000,2240743257,2024-07,1351.65,"c(-58.544042, -34.638092)",FALSE,250000,184.96,8333.33,6.17,8333.33,6.17,NA,30,04,06840010,Ciudadela,Sur,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-07-15T00:00:00Z,2024-07-04T17:29:49Z,2024-10-02T10:20:18Z,Inmobiliaria,Alquiler,53,50,1,2,NA,Departamento,ARG,300000,300000,1810314243,2024-07,1351.65,"c(-58.5921014, -34.5883027)",FALSE,300000,221.95,5660.38,4.19,6000,4.44,DP,20,08,06840010,Martín Coronado,Centro,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-07-30T00:00:00Z,2024-07-17T20:00:13Z,2024-10-15T00:00:00Z,Inmobiliaria,Alquiler,41,37,0,1,NA,Departamento,ARG,350000,350000,1802283879,2024-07,1351.65,"c(-58.5359592, -34.5978672)",FALSE,350000,258.94,8536.59,6.32,9459.46,7,NA,29,12,06840010,Sáenz Peña,Este,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-07-07T00:00:00Z,2024-06-29T01:05:26Z,2024-09-26T00:00:00Z,Inmobiliaria,Alquiler,42,42,1,2,NA,Departamento,ARG,200000,200000,1802904183,2024-07,1351.65,"c(-58.5699688, -34.6098168)",FALSE,200000,147.97,4761.9,3.52,4761.9,3.52,NA,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-07-01T00:00:00Z,2024-06-03T16:11:49Z,2024-07-03T00:01:04Z,Fsbo,Alquiler,27,27,0,1,NA,Departamento,ARG,200000,200000,2236275309,2024-07,1351.65,"c(-58.5598948, -34.6041541)",FALSE,200000,147.97,7407.41,5.48,7407.41,5.48,DP,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-07-06T00:00:00Z,2024-07-04T07:21:34Z,2024-08-03T00:00:00Z,Fsbo,Alquiler,48,45,1,2,NA,Departamento,ARG,370000,370000,1806330063,2024-07,1351.65,"c(-58.5334693, -34.5989809)",FALSE,370000,273.74,7708.33,5.7,8222.22,6.08,NA,29,12,06840010,Sáenz Peña,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-07-15T00:00:00Z,2024-05-16T16:35:35Z,2024-08-14T19:31:05Z,Inmobiliaria,Alquiler,36,34,1,2,NA,Departamento,ARG,300000,300000,2275079469,2024-07,1351.65,"c(-58.5899864, -34.5896523)",FALSE,300000,221.95,8333.33,6.17,8823.53,6.53,DP,20,08,06840010,Martín Coronado,Centro,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-07-20T00:00:00Z,2024-06-04T15:10:22Z,2024-09-02T00:00:00Z,Inmobiliaria,Alquiler,63,63,2,3,NA,Departamento,ARG,500000,500000,2258881905,2024-07,1351.65,"c(-58.5300936, -34.5992231)",FALSE,500000,369.92,7936.51,5.87,7936.51,5.87,NA,29,12,06840010,Sáenz Peña,Este,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-07-30T00:00:00Z,2024-07-25T21:34:31Z,2024-10-23T00:00:00Z,Inmobiliaria,Alquiler,35,35,1,2,NA,Departamento,ARG,290000,290000,2158251049,2024-07,1351.65,"c(-58.5396304, -34.5973469)",FALSE,290000,214.55,8285.71,6.13,8285.71,6.13,NA,29,12,06840010,Sáenz Peña,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-07-09T00:00:00Z,2024-06-07T15:11:36Z,2024-09-05T15:20:27Z,Inmobiliaria,Alquiler,40,35,1,2,NA,Departamento,ARG,240000,240000,2240266049,2024-07,1351.65,"c(-58.5306817, -34.6332833)",FALSE,240000,177.56,6000,4.44,6857.14,5.07,DP,30,04,06840010,Ciudadela,Sur,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-07-30T00:00:00Z,2024-04-26T18:15:02Z,2024-08-10T14:44:16Z,Inmobiliaria,Alquiler,40,38,1,2,NA,Departamento,ARG,250000,250000,1805448139,2024-07,1351.65,"c(-58.5610149, -34.6153168)",FALSE,250000,184.96,6250,4.62,6578.95,4.87,NA,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-07-16T00:00:00Z,2024-05-28T09:05:26Z,2024-08-26T19:22:17Z,Inmobiliaria,Alquiler,36,34,1,2,NA,Departamento,ARG,280000,280000,2238564357,2024-07,1351.65,"c(-58.5899864, -34.5896523)",FALSE,280000,207.15,7777.78,5.75,8235.29,6.09,DP,20,08,06840010,Martín Coronado,Centro,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-07-30T00:00:00Z,2024-06-13T14:35:01Z,2024-09-11T00:00:00Z,Inmobiliaria,Alquiler,40,35,0,0,NA,Departamento,ARG,200000,200000,2223199073,2024-07,1351.65,"c(-58.5780392, -34.5787462)",FALSE,200000,147.97,5000,3.7,5714.29,4.23,NA,22,14,06840010,Villa Bosch,Centro,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-07-28T00:00:00Z,2024-07-08T18:15:02Z,2024-10-06T00:00:00Z,Inmobiliaria,Alquiler,85,70,2,3,NA,Departamento,ARG,550000,550000,1811172067,2024-07,1351.65,"c(-58.5722141, -34.58879)",FALSE,550000,406.91,6470.59,4.79,7857.14,5.81,NA,22,14,06840010,Villa Bosch,Centro,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-07-01T00:00:00Z,2024-07-01T20:23:50Z,2024-09-29T00:00:00Z,Inmobiliaria,Alquiler,42,40,1,2,NA,Departamento,ARG,320000,320000,2240817669,2024-07,1351.65,"c(-58.545115, -34.601073)",FALSE,320000,236.75,7619.05,5.64,8000,5.92,DP,21,13,06840010,Santos Lugares,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-07-30T00:00:00Z,2024-06-05T11:15:03Z,2024-09-03T00:00:00Z,Inmobiliaria,Alquiler,40,40,1,2,NA,Departamento,ARG,230000,230000,2304597865,2024-07,1351.65,"c(-58.5653842, -34.6010952)",FALSE,230000,170.16,5750,4.25,5750,4.25,DP,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-07-03T00:00:00Z,2024-05-08T14:13:10Z,2024-08-06T00:00:00Z,Inmobiliaria,Alquiler,35,33,1,2,NA,Departamento,ARG,250000,250000,2285233557,2024-07,1351.65,"c(-58.5769488, -34.5985224)",FALSE,250000,184.96,7142.86,5.28,7575.76,5.6,NA,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-07-12T00:00:00Z,2024-07-09T10:54:38Z,2024-08-08T00:00:00Z,Fsbo,Alquiler,32,30,1,2,NA,Departamento,ARG,310000,310000,2268242773,2024-07,1351.65,"c(-58.5344509, -34.5961058)",FALSE,310000,229.35,9687.5,7.17,10333.33,7.64,NA,29,12,06840010,Sáenz Peña,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-07-01T00:00:00Z,2024-06-05T21:25:27Z,2024-07-05T00:00:00Z,Fsbo,Alquiler,50,32,1,1,NA,Departamento,ARG,250000,250000,1806987735,2024-07,1351.65,"c(-58.55693, -34.6004215)",FALSE,250000,184.96,5000,3.7,7812.5,5.78,DP,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-07-30T00:00:00Z,2024-07-10T13:48:54Z,2024-10-08T00:00:00Z,Inmobiliaria,Alquiler,55,45,1,2,NA,Departamento,ARG,340000,340000,2195118417,2024-07,1351.65,"c(-58.5550632, -34.6098279)",FALSE,340000,251.54,6181.82,4.57,7555.56,5.59,NA,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,TRUE,FALSE
2024-07-14T00:00:00Z,2024-06-19T16:00:04Z,2025-03-17T06:20:47Z,Inmobiliaria,Alquiler,41,39,1,2,NA,Departamento,ARG,290000,290000,1798399787,2024-07,1351.65,"c(-58.5311126, -34.60269)",FALSE,290000,214.55,7073.17,5.23,7435.9,5.5,DP,29,12,06840010,Sáenz Peña,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-07-01T00:00:00Z,2024-04-16T19:40:17Z,2024-07-15T00:00:00Z,Inmobiliaria,Alquiler,50,43,1,2,NA,Departamento,ARG,290000,290000,1801220451,2024-07,1351.65,"c(-58.5924164, -34.5835874)",FALSE,290000,214.55,5800,4.29,6744.19,4.99,NA,20,08,06840010,Martín Coronado,Centro,2 ambientes,FALSE,FALSE,FALSE,FALSE
