TIM_DAY,ITE_AUCTION_START_DATETIME,ITE_AUCTION_STOP_DATETIME,DEALER_TYPE_GROUP_DESC,OPERATION,TOTAL_AREA,COVERED_AREA,BEDROOMS,ROOMS,PROPERTY_TYPE,SIT_CURRENCY_ID,ITE_CURRENT_PRICE,PRECIO_LOCAL,ID.Final,mes,tc_prom,geometry,dummy_dolar,precio_pesos,precio_dolares,pesosm2tot,dolaresm2tot,pesosm2_cub,dolaresm2_cub,desarrollo prioritario,fid,cod_ent,cod_loc,nombre,zonas,Ambientes,digitos_iguales,digitos_iguales_pesos,digitos_iguales_m2tot,borrar
2024-10-29T00:00:00Z,"2024-09-30T17:45:11,592000",45655,Inmobiliaria,Alquiler,90,60,2,3,Departamento,ARG,400000,400000,2846427169,2024-10,1161,"c(-58.5726739, -34.5866114)",FALSE,400000,344.53,4444.44,3.83,6666.67,5.74,NA,22,14,06840010,Villa Bosch,Centro,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-10-30T00:00:00Z,"2024-08-23T08:35:57,170000","2024-11-21T11:36:42,450000",Inmobiliaria,Alquiler,45,42,1,2,Departamento,ARG,300000,300000,2782614649,2024-10,1161,"c(-58.5572925, -34.5977752)",FALSE,300000,258.4,6666.67,5.74,7142.86,6.15,NA,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-10-30T00:00:00Z,"2024-10-21T08:59:56,263000",45676,Inmobiliaria,Alquiler,45,40,1,2,Departamento,ARG,290000,290000,2878432845,2024-10,1161,"c(-58.5941776, -34.6054647)",FALSE,290000,249.78,6444.44,5.55,7250,6.24,NA,19,03,06840010,Ciudad Jardín Lomas del Palomar,Centro,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-10-24T00:00:00Z,"2024-10-14T11:45:04,659000",45669,Inmobiliaria,Alquiler,38,36,1,2,Departamento,ARG,300000,300000,2869261725,2024-10,1161,"c(-58.5430279, -34.6012941)",FALSE,300000,258.4,7894.74,6.8,8333.33,7.18,DP,21,13,06840010,Santos Lugares,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-10-30T00:00:00Z,"2024-09-04T18:23:00,157000",45629,Inmobiliaria,Alquiler,47,42,1,2,Departamento,ARG,390000,390000,2804239213,2024-10,1161,"c(-58.5665361, -34.6012433)",FALSE,390000,335.92,8297.87,7.15,9285.71,8,DP,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-10-30T00:00:00Z,"2024-10-28T17:00:24,985000",45683,Inmobiliaria,Alquiler,45,42,1,2,Departamento,ARG,360000,360000,1915158987,2024-10,1161,"c(-58.5921683, -34.5878828)",FALSE,360000,310.08,8000,6.89,8571.43,7.38,NA,20,08,06840010,Martín Coronado,Centro,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-10-06T00:00:00Z,"2024-09-10T23:49:44,839000",45635,Inmobiliaria,Alquiler,50,50,2,3,Departamento,ARG,380000,380000,2813793989,2024-10,1161,"c(-58.56988, -34.59242)",FALSE,380000,327.3,7600,6.55,7600,6.55,DP,22,14,06840010,Villa Bosch,Centro,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-10-10T00:00:00Z,"2024-09-11T01:01:32,666000",45635,Inmobiliaria,Alquiler,30,30,1,1,Departamento,ARG,280000,280000,2813798077,2024-10,1161,"c(-58.5496412, -34.5992763)",FALSE,280000,241.17,9333.33,8.04,9333.33,8.04,NA,21,13,06840010,Santos Lugares,Este,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-10-30T00:00:00Z,"2024-10-03T13:15:33,642000",45598,Fsbo,Alquiler,45,42,1,2,Departamento,ARG,400000,400000,2853436961,2024-10,1161,"c(-58.5311126, -34.60269)",FALSE,400000,344.53,8888.89,7.66,9523.81,8.2,DP,29,12,06840010,Sáenz Peña,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-10-30T00:00:00Z,"2024-10-30T08:39:16,744000",45685,Inmobiliaria,Alquiler,45,40,1,2,Departamento,ARG,380000,380000,2893943617,2024-10,1161,"c(-58.5328461, -34.6416966)",FALSE,380000,327.3,8444.44,7.27,9500,8.18,DP,30,04,06840010,Ciudadela,Sur,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-10-13T00:00:00Z,"2024-09-10T21:52:57,224000",45635,Inmobiliaria,Alquiler,31,31,0,1,Departamento,ARG,300000,300000,1898541031,2024-10,1161,"c(-58.5359524, -34.5978903)",FALSE,300000,258.4,9677.42,8.34,9677.42,8.34,NA,29,12,06840010,Sáenz Peña,Este,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-10-26T00:00:00Z,"2024-10-06T21:44:08,941000",45661,Inmobiliaria,Alquiler,31,30,0,1,Departamento,ARG,337000,337000,2858149169,2024-10,1161,"c(-58.5617726, -34.5996375)",FALSE,337000,290.27,10870.97,9.36,11233.33,9.68,DP,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-10-06T00:00:00Z,"2024-09-25T12:41:51,379000",45650,Inmobiliaria,Alquiler,49,41,1,2,Departamento,ARG,390000,390000,2836415693,2024-10,1161,"c(-58.5256397, -34.6011613)",FALSE,390000,335.92,7959.18,6.86,9512.2,8.19,DP,29,12,06840010,Sáenz Peña,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-10-30T00:00:00Z,"2024-10-18T18:15:04,014000",45676,Inmobiliaria,Alquiler,50,45,1,2,Departamento,ARG,400000,400000,2876865053,2024-10,1161,"c(-58.5679825, -34.5879762)",FALSE,400000,344.53,8000,6.89,8888.89,7.66,NA,22,14,06840010,Villa Bosch,Centro,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-10-30T00:00:00Z,"2024-10-24T11:45:05,006000",45679,Inmobiliaria,Alquiler,55,52,2,3,Departamento,ARG,450000,450000,1913858963,2024-10,1161,"c(-58.5515557, -34.6364152)",FALSE,450000,387.6,8181.82,7.05,8653.85,7.45,NA,30,04,06840010,Ciudadela,Sur,Mas de 3 ambientes,FALSE,FALSE,TRUE,FALSE
2024-10-30T00:00:00Z,"2024-10-21T10:54:24,196000",45676,Inmobiliaria,Alquiler,35,35,1,2,Departamento,ARG,260000,260000,1912517375,2024-10,1161,"c(-58.5426574, -34.638077)",FALSE,260000,223.94,7428.57,6.4,7428.57,6.4,DP,30,04,06840010,Ciudadela,Sur,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-10-02T00:00:00Z,"2024-10-02T19:06:51,357000",45657,Inmobiliaria,Alquiler,40,40,1,2,Departamento,ARG,340000,340000,2852310761,2024-10,1161,"c(-58.5666749, -34.5883724)",FALSE,340000,292.85,8500,7.32,8500,7.32,NA,22,14,06840010,Villa Bosch,Centro,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-10-30T00:00:00Z,"2024-10-30T08:49:10,316000",45685,Inmobiliaria,Alquiler,100,100,3,4,Departamento,ARG,850000,850000,2893867577,2024-10,1161,"c(-58.5916668, -34.6004107)",FALSE,850000,732.13,8500,7.32,8500,7.32,NA,19,03,06840010,Ciudad Jardín Lomas del Palomar,Centro,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-10-01T00:00:00Z,"2024-07-25T11:30:25,337000",45588,Inmobiliaria,Alquiler,42,42,1,1,Departamento,ARG,298000,298000,1878537647,2024-10,1161,"c(-58.5659551, -34.6028368)",FALSE,298000,256.68,7095.24,6.11,7095.24,6.11,DP,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-10-30T00:00:00Z,"2024-10-04T09:45:03,204000",45659,Inmobiliaria,Alquiler,35,32,0,1,Departamento,ARG,250000,250000,2854821181,2024-10,1161,"c(-58.5790105, -34.5888596)",FALSE,250000,215.33,7142.86,6.15,7812.5,6.73,NA,20,08,06840010,Martín Coronado,Centro,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-10-17T00:00:00Z,"2024-10-16T10:05:10,299000",45671,Inmobiliaria,Alquiler,48,48,1,2,Departamento,ARG,300000,300000,2872388077,2024-10,1161,"c(-58.592101, -34.588302)",FALSE,300000,258.4,6250,5.38,6250,5.38,DP,20,08,06840010,Martín Coronado,Centro,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-10-30T00:00:00Z,"2024-08-28T15:29:53,176000","2024-11-27T11:07:59,167000",Inmobiliaria,Alquiler,36,27,1,2,Departamento,ARG,150000,150000,1892747823,2024-10,1161,"c(-58.6176133, -34.5610774)",FALSE,150000,129.2,4166.67,3.59,5555.56,4.79,NA,28,02,06840010,Churruca,Norte,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-10-29T00:00:00Z,"2024-10-21T15:45:24,475000",45676,Inmobiliaria,Alquiler,25,25,1,2,Departamento,ARG,200000,200000,2879897681,2024-10,1161,"c(-58.6027174, -34.5612444)",FALSE,200000,172.27,8000,6.89,8000,6.89,NA,27,05,06840010,El Libertador,Norte,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-10-23T00:00:00Z,"2024-10-15T09:14:20,578000",45670,Inmobiliaria,Alquiler,32,28,0,1,Departamento,ARG,250000,250000,2870422341,2024-10,1161,"c(-58.5916537, -34.586259)",FALSE,250000,215.33,7812.5,6.73,8928.57,7.69,NA,20,08,06840010,Martín Coronado,Centro,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-10-22T00:00:00Z,"2024-09-19T09:55:41,577000",45644,Inmobiliaria,Alquiler,64,60,2,3,Departamento,ARG,390000,390000,2826986381,2024-10,1161,"c(-58.5917745, -34.5976764)",FALSE,390000,335.92,6093.75,5.25,6500,5.6,NA,19,03,06840010,Ciudad Jardín Lomas del Palomar,Centro,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-10-30T00:00:00Z,"2024-10-14T16:44:20,108000",45669,Inmobiliaria,Alquiler,36,33,1,1,Departamento,ARG,250000,250000,2869255893,2024-10,1161,"c(-58.5667696, -34.5970462)",FALSE,250000,215.33,6944.44,5.98,7575.76,6.53,NA,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-10-30T00:00:00Z,"2024-10-16T17:10:15,433000",45671,Inmobiliaria,Alquiler,58,55,2,3,Departamento,ARG,450000,450000,1911074431,2024-10,1161,"c(-58.582117, -34.6081465)",FALSE,450000,387.6,7758.62,6.68,8181.82,7.05,NA,18,01,06840010,Caseros,Caseros,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-10-02T00:00:00Z,"2024-09-27T12:15:04,203000",45652,Inmobiliaria,Alquiler,50,44,0,3,Departamento,ARG,480000,480000,2841021077,2024-10,1161,"c(-58.5456222, -34.5995003)",FALSE,480000,413.44,9600,8.27,10909.09,9.4,NA,21,13,06840010,Santos Lugares,Este,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-10-30T00:00:00Z,"2024-10-28T12:16:44,649000",45623,Fsbo,Alquiler,40,40,1,2,Departamento,ARG,250000,250000,1915165671,2024-10,1161,"c(-58.5653469, -34.6011183)",FALSE,250000,215.33,6250,5.38,6250,5.38,DP,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
