TIM_DAY,ITE_AUCTION_START_DATETIME,ITE_AUCTION_STOP_DATETIME,DEALER_TYPE_GROUP_DESC,OPERATION,TOTAL_AREA,COVERED_AREA,BEDROOMS,ROOMS,PROPERTY_TYPE,SIT_CURRENCY_ID,ITE_CURRENT_PRICE,PRECIO_LOCAL,ID.Final,mes,tc_prom,geometry,dummy_dolar,precio_pesos,precio_dolares,pesosm2tot,dolaresm2tot,pesosm2_cub,dolaresm2_cub,desarrollo prioritario,fid,cod_ent,cod_loc,nombre,zonas,Ambientes,digitos_iguales,digitos_iguales_pesos,digitos_iguales_m2tot,borrar
2024-12-30T00:00:00Z,"2024-11-29T11:45:03,575000",45715,Inmobiliaria,Alquiler,300,120,2,3,Casa,ARG,1200000,1200000,1926455435,2024-12,1108.45,"c(-58.5786356, -34.5865009)",FALSE,1200000,1082.59,4000,3.61,10000,9.02,NA,22,14,06840010,Villa Bosch,Centro,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-12-30T00:00:00Z,"2024-10-25T21:36:30,159000","2025-01-29T11:33:34,644000",Inmobiliaria,Alquiler,47,47,0,1,Casa,ARG,300000,300000,1914590475,2024-12,1108.45,"c(-58.5429553, -34.6138478)",FALSE,300000,270.65,6382.98,5.76,6382.98,5.76,NA,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-12-30T00:00:00Z,"2024-12-05T15:55:59,635000",45727.485968749999,Inmobiliaria,Alquiler,79,79,2,3,Casa,ARG,600000,600000,1928097451,2024-12,1108.45,"c(-58.5398753, -34.6423858)",FALSE,600000,541.3,7594.94,6.85,7594.94,6.85,DP,30,04,06840010,Ciudadela,Sur,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-12-30T00:00:00Z,"2024-12-28T18:27:24,399000",45684,Fsbo,Alquiler,90,90,3,null,Casa,ARG,850000,850000,1938483243,2024-12,1108.45,"c(-58.5682252, -34.596696)",FALSE,850000,766.84,9444.44,8.52,9444.44,8.52,NA,18,01,06840010,Caseros,Caseros,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-12-29T00:00:00Z,"2024-12-22T00:18:56,196000",45678,Fsbo,Alquiler,25,25,0,null,Casa,ARG,220000,220000,2968371937,2024-12,1108.45,"c(-58.5811092, -34.6071666)",FALSE,220000,198.48,8800,7.94,8800,7.94,NA,18,01,06840010,Caseros,Caseros,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-12-30T00:00:00Z,"2024-12-22T17:42:03,432000",45678,Fsbo,Alquiler,45,40,1,null,Casa,ARG,350000,350000,2968539461,2024-12,1108.45,"c(-58.5833193, -34.5886701)",FALSE,350000,315.76,7777.78,7.02,8750,7.89,NA,20,08,06840010,Martín Coronado,Centro,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-12-20T00:00:00Z,"2024-12-03T12:30:07,676000",45719,Inmobiliaria,Alquiler,180,80,3,4,Casa,ARG,720000,720000,2939300021,2024-12,1108.45,"c(-58.5800028, -34.5784577)",FALSE,720000,649.56,4000,3.61,9000,8.12,NA,22,14,06840010,Villa Bosch,Centro,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-12-30T00:00:00Z,"2024-12-30T08:36:49,756000",45746,Inmobiliaria,Alquiler,105,105,3,4,Casa,ARG,750000,750000,1938635947,2024-12,1108.45,"c(-58.5585122, -34.5976923)",FALSE,750000,676.62,7142.86,6.44,7142.86,6.44,NA,18,01,06840010,Caseros,Caseros,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-12-29T00:00:00Z,"2024-11-28T10:14:55,089000",45714,Inmobiliaria,Alquiler,105,105,3,4,Casa,ARG,750000,750000,2934949029,2024-12,1108.45,"c(-58.5585122, -34.5976923)",FALSE,750000,676.62,7142.86,6.44,7142.86,6.44,NA,18,01,06840010,Caseros,Caseros,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-12-30T00:00:00Z,"2024-11-29T08:21:17,193000",45715,Inmobiliaria,Alquiler,520,400,6,7,Casa,DOL,2800,2888200,2935926505,2024-12,1108.45,"c(-58.5608343, -34.6034913)",TRUE,3103660,2800,5968.58,5.38,7759.15,7,DP,18,01,06840010,Caseros,Caseros,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-12-30T00:00:00Z,"2024-11-14T14:14:44,151000",45700,Inmobiliaria,Alquiler,230,170,3,4,Casa,ARG,1900000,1900000,1921211695,2024-12,1108.45,"c(-58.5418961, -34.5972413)",FALSE,1900000,1714.11,8260.87,7.45,11176.47,10.08,NA,21,13,06840010,Santos Lugares,Este,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-12-12T00:00:00Z,"2024-11-28T17:43:15,564000",45714,Inmobiliaria,Alquiler,200,70,2,3,Casa,ARG,780000,780000,1926303135,2024-12,1108.45,"c(-58.6153197, -34.5816723)",FALSE,780000,703.69,3900,3.52,11142.86,10.05,NA,NA,NA,NA,Altos de Podestá,Centro,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-12-07T00:00:00Z,"2024-11-14T10:07:54,911000",45700,Inmobiliaria,Alquiler,100,45,2,3,Casa,ARG,660000,660000,2917161121,2024-12,1108.45,"c(-58.609628, -34.580041)",FALSE,660000,595.43,6600,5.95,14666.67,13.23,NA,24,10,06840010,Pablo Podestá,Norte,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-12-30T00:00:00Z,"2024-11-20T19:11:50,301000",45706,Inmobiliaria,Alquiler,100,80,1,2,Casa,ARG,600000,600000,2924712185,2024-12,1108.45,"c(-58.5729221, -34.5965948)",FALSE,600000,541.3,6000,5.41,7500,6.77,NA,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-12-16T00:00:00Z,"2024-12-16T12:03:54,449000",45732,Inmobiliaria,Alquiler,89,63,2,4,Casa,ARG,650000,650000,1930837695,2024-12,1108.45,"c(-58.5906798, -34.5987809)",FALSE,650000,586.4,7303.37,6.59,10317.46,9.31,NA,19,03,06840010,Ciudad Jardín Lomas del Palomar,Centro,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-12-30T00:00:00Z,"2024-12-10T16:50:41,333000","2025-01-08T18:22:38,645000",Fsbo,Alquiler,90,75,2,null,Casa,ARG,480000,480000,2940484109,2024-12,1108.45,"c(-58.5643843, -34.6223968)",FALSE,480000,433.04,5333.33,4.81,6400,5.77,NA,18,01,06840010,Caseros,Caseros,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-12-08T00:00:00Z,"2024-12-04T14:18:38,776000",45720,Inmobiliaria,Alquiler,154,154,3,4,Casa,ARG,950000,950000,1927988019,2024-12,1108.45,"c(-58.5288609, -34.6081196)",FALSE,950000,857.05,6168.83,5.57,6168.83,5.57,DP,16,15,06840010,Villa Raffo,Sur,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-12-08T00:00:00Z,"2024-12-04T14:17:33,354000",45720,Inmobiliaria,Alquiler,154,154,3,4,Casa,ARG,950000,950000,1927936203,2024-12,1108.45,"c(-58.5288609, -34.6081196)",FALSE,950000,857.05,6168.83,5.57,6168.83,5.57,DP,16,15,06840010,Villa Raffo,Sur,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-12-05T00:00:00Z,"2024-12-04T11:15:09,497000",45720,Inmobiliaria,Alquiler,150,70,2,3,Casa,ARG,700000,700000,2941195789,2024-12,1108.45,"c(-58.5842341, -34.5959802)",FALSE,700000,631.51,4666.67,4.21,10000,9.02,NA,19,03,06840010,Ciudad Jardín Lomas del Palomar,Centro,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-12-26T00:00:00Z,"2024-12-14T18:51:58,990000",45670,Fsbo,Alquiler,150,110,3,4,Casa,ARG,650000,650000,1930508151,2024-12,1108.45,"c(-58.5561453, -34.6075067)",FALSE,650000,586.4,4333.33,3.91,5909.09,5.33,NA,18,01,06840010,Caseros,Caseros,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
