TIM_DAY,ITE_AUCTION_START_DATETIME,ITE_AUCTION_STOP_DATETIME,DEALER_TYPE_GROUP_DESC,OPERATION,TOTAL_AREA,COVERED_AREA,BEDROOMS,ROOMS,ITE_ITEM_ID,PROPERTY_TYPE,SIT_CURRENCY_ID,ITE_CURRENT_PRICE,PRECIO_LOCAL,ID Final,mes,tc_prom,geometry,dummy_dolar,precio_pesos,precio_dolares,pesosm2tot,dolaresm2tot,pesosm2_cub,dolaresm2_cub,desarrollo prioritario,fid,cod_ent,cod_loc,nombre,zona_venta,zona_alq,digitos_iguales,digitos_iguales_pesos,digitos_iguales_m2tot,borrar
2023-11-29T00:00:00Z,2023-11-27T18:58:27Z,2024-02-25T00:00:00Z,Inmobiliaria,Alquiler,60,57,2,3,NA,Departamento,ARG,200000,200000,1794278811,2023-11,882.79,"c(-58.5891981, -34.5981739)",FALSE,200000,226.55,3333.33,3.78,3508.77,3.97,NA,19,03,06840010,Ciudad Jardín Lomas del Palomar,Ciudad Jardín Lomas del Palomar,Centro,FALSE,FALSE,FALSE,FALSE
2023-11-29T00:00:00Z,2023-11-29T09:35:28Z,2024-02-27T00:00:00Z,Inmobiliaria,Alquiler,48,44,1,2,NA,Departamento,ARG,200000,200000,2163125541,2023-11,882.79,"c(-58.5803682, -34.5875103)",FALSE,200000,226.55,4166.67,4.72,4545.45,5.15,NA,22,14,06840010,Villa Bosch,Villa Bosch,Centro,FALSE,FALSE,FALSE,FALSE
2023-11-05T00:00:00Z,2023-10-12T17:48:41Z,2024-01-10T00:00:00Z,Inmobiliaria,Alquiler,37,33,1,2,NA,Departamento,ARG,165000,165000,1784310707,2023-11,882.79,"c(-58.5422138, -34.6028382)",FALSE,165000,186.91,4459.46,5.05,5000,5.66,DP,21,13,06840010,Santos Lugares,Santos Lugares,Este,FALSE,FALSE,FALSE,FALSE
2023-11-29T00:00:00Z,2023-11-28T16:15:03Z,2024-02-26T00:00:00Z,Inmobiliaria,Alquiler,30,30,1,2,NA,Departamento,ARG,160000,160000,1794456295,2023-11,882.79,"c(-58.5426124, -34.6412898)",FALSE,160000,181.24,5333.33,6.04,5333.33,6.04,DP,30,04,06840010,Ciudadela,Ciudadela,Sur,FALSE,FALSE,FALSE,FALSE
2023-11-08T00:00:00Z,2023-11-06T16:45:03Z,2024-02-04T00:00:00Z,Inmobiliaria,Alquiler,45,40,1,2,NA,Departamento,ARG,150000,150000,1789642075,2023-11,882.79,"c(-58.5526003, -34.5939807)",FALSE,150000,169.92,3333.33,3.78,3750,4.25,NA,21,13,06840010,Santos Lugares,Santos Lugares,Este,FALSE,FALSE,FALSE,FALSE
2023-11-12T00:00:00Z,2023-11-09T17:55:23Z,2024-02-07T00:00:00Z,Inmobiliaria,Alquiler,100,35,1,1,NA,Departamento,ARG,120000,120000,1790426539,2023-11,882.79,"c(-58.6111876, -34.5791715)",FALSE,120000,135.93,1200,1.36,3428.57,3.88,NA,24,10,06840010,Pablo Podestá,Norte,Norte,FALSE,FALSE,FALSE,FALSE
2023-11-06T00:00:00Z,2023-11-01T17:29:57Z,2024-01-30T00:00:00Z,Inmobiliaria,Alquiler,42,39,1,2,NA,Departamento,ARG,200000,200000,1788559751,2023-11,882.79,"c(-58.5453209, -34.6005346)",FALSE,200000,226.55,4761.9,5.39,5128.21,5.81,NA,21,13,06840010,Santos Lugares,Santos Lugares,Este,FALSE,FALSE,FALSE,FALSE
2023-11-20T00:00:00Z,2023-11-13T17:03:46Z,2024-02-11T00:00:00Z,Inmobiliaria,Alquiler,30,30,1,2,NA,Departamento,ARG,130000,130000,2128129645,2023-11,882.79,"c(-58.5901693, -34.5883275)",FALSE,130000,147.26,4333.33,4.91,4333.33,4.91,DP,20,08,06840010,Martín Coronado,Martín Coronado,Centro,FALSE,FALSE,FALSE,FALSE
2023-11-29T00:00:00Z,2023-08-09T16:17:53Z,2024-02-05T00:00:00Z,Inmobiliaria,Alquiler,37,34,1,2,NA,Departamento,ARG,170000,170000,1764670679,2023-11,882.79,"c(-58.5657817, -34.6099965)",FALSE,170000,192.57,4594.59,5.2,5000,5.66,NA,18,01,06840010,Caseros,Caseros,Caseros,FALSE,FALSE,FALSE,FALSE
2023-11-12T00:00:00Z,2023-10-23T15:10:02Z,2024-01-21T00:00:00Z,Inmobiliaria,Alquiler,50,50,1,2,NA,Departamento,ARG,80000,80000,1786361887,2023-11,882.79,"c(-58.6042398, -34.5697339)",FALSE,80000,90.62,1600,1.81,1600,1.81,NA,26,07,06840010,Loma Hermosa,Norte,Norte,FALSE,FALSE,FALSE,FALSE
