TIM_DAY,ITE_AUCTION_START_DATETIME,ITE_AUCTION_STOP_DATETIME,DEALER_TYPE_GROUP_DESC,OPERATION,TOTAL_AREA,COVERED_AREA,BEDROOMS,ROOMS,PROPERTY_TYPE,SIT_CURRENCY_ID,ITE_CURRENT_PRICE,PRECIO_LOCAL,ID.Final,mes,tc_prom,geometry,dummy_dolar,precio_pesos,precio_dolares,pesosm2tot,dolaresm2tot,pesosm2_cub,dolaresm2_cub,desarrollo prioritario,fid,cod_ent,cod_loc,nombre,zonas,Ambientes,digitos_iguales,digitos_iguales_pesos,digitos_iguales_m2tot,borrar
2024-11-11T00:00:00Z,"2024-11-01T18:05:12,535000",2025-01-30T00:00:00,Inmobiliaria,Alquiler,28,28,0,1,Departamento,ARG,310000,310000,2899012225,2024-11,1106,"c(-58.5642606, -34.6090108)",FALSE,310000,280.29,11071.43,10.01,11071.43,10.01,DP,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-11-20T00:00:00Z,"2024-08-23T08:55:56,438000","2024-11-21T14:25:56,515000",Inmobiliaria,Alquiler,60,54,2,3,Departamento,ARG,350000,350000,2782511773,2024-11,1106,"c(-58.6042398, -34.5697339)",FALSE,350000,316.46,5833.33,5.27,6481.48,5.86,NA,26,07,06840010,Loma Hermosa,Norte,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-29T00:00:00Z,"2024-11-25T09:21:21,984000",2025-02-23T00:00:00,Inmobiliaria,Alquiler,56,56,1,2,Departamento,ARG,450000,450000,2930241533,2024-11,1106,"c(-58.5698452, -34.5896209)",FALSE,450000,406.87,8035.71,7.27,8035.71,7.27,DP,22,14,06840010,Villa Bosch,Centro,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-29T00:00:00Z,"2024-09-13T01:06:39,490000",2024-12-11T00:00:00,Inmobiliaria,Alquiler,70,70,0,1,Departamento,ARG,350000,350000,2817920361,2024-11,1106,"c(-58.5645124, -34.607998)",FALSE,350000,316.46,5000,4.52,5000,4.52,DP,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-11-29T00:00:00Z,"2024-11-28T16:09:00,259000",2025-02-26T00:00:00,Inmobiliaria,Alquiler,65,65,1,1,Departamento,ARG,260000,260000,1926370691,2024-11,1106,"c(-58.577306, -34.6165928)",FALSE,260000,235.08,4000,3.62,4000,3.62,NA,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-11-29T00:00:00Z,"2024-11-28T11:26:20,394000",2025-02-26T00:00:00,Inmobiliaria,Alquiler,41,41,1,2,Departamento,ARG,350000,350000,2934956481,2024-11,1106,"c(-58.5390165, -34.6425924)",FALSE,350000,316.46,8536.59,7.72,8536.59,7.72,NA,30,04,06840010,Ciudadela,Sur,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-14T00:00:00Z,"2024-10-02T15:50:24,218000","2025-01-09T06:27:21,047000",Inmobiliaria,Alquiler,63,54,2,3,Departamento,ARG,600000,600000,1906472503,2024-11,1106,"c(-58.562353, -34.6092255)",FALSE,600000,542.5,9523.81,8.61,11111.11,10.05,DP,18,01,06840010,Caseros,Caseros,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-29T00:00:00Z,"2024-11-29T09:37:11,348000",2025-02-27T00:00:00,Inmobiliaria,Alquiler,80,40,1,2,Departamento,ARG,390000,390000,2936112477,2024-11,1106,"c(-58.5316813, -34.599205)",FALSE,390000,352.62,4875,4.41,9750,8.82,DP,29,12,06840010,Sáenz Peña,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-29T00:00:00Z,"2024-11-29T11:17:17,050000",2025-02-27T00:00:00,Inmobiliaria,Alquiler,35,35,1,2,Departamento,ARG,330000,330000,2935969605,2024-11,1106,"c(-58.5576172, -34.5936852)",FALSE,330000,298.37,9428.57,8.52,9428.57,8.52,NA,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-29T00:00:00Z,"2024-11-22T10:15:57,842000",2025-02-20T00:00:00,Inmobiliaria,Alquiler,38,38,1,2,Departamento,ARG,400000,400000,2927025689,2024-11,1106,"c(-58.5746917, -34.594599)",FALSE,400000,361.66,10526.32,9.52,10526.32,9.52,NA,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
