TIM_DAY,ITE_AUCTION_START_DATETIME,ITE_AUCTION_STOP_DATETIME,DEALER_TYPE_GROUP_DESC,OPERATION,TOTAL_AREA,COVERED_AREA,BEDROOMS,ROOMS,ITE_ITEM_ID,PROPERTY_TYPE,SIT_CURRENCY_ID,ITE_CURRENT_PRICE,PRECIO_LOCAL,ID Final,mes,tc_prom,geometry,dummy_dolar,precio_pesos,precio_dolares,pesosm2tot,dolaresm2tot,pesosm2_cub,dolaresm2_cub,desarrollo prioritario,fid,cod_ent,cod_loc,nombre,zona_venta,zona_alq,digitos_iguales,digitos_iguales_pesos,digitos_iguales_m2tot,borrar
2023-12-12T00:00:00Z,2023-12-12T10:32:26Z,2024-03-11T00:00:00Z,Inmobiliaria,Alquiler,35,33,0,1,NA,Departamento,ARG,180000,180000,1797515503,2023-12,965.59,"c(-58.530781, -34.59864)",FALSE,180000,186.41,5142.86,5.33,5454.55,5.65,NA,29,12,06840010,Sáenz Peña,Sáenz Peña,Este,FALSE,FALSE,FALSE,FALSE
2023-12-06T00:00:00Z,2023-12-06T09:37:38Z,2024-03-05T00:00:00Z,Inmobiliaria,Alquiler,44,40,0,0,NA,Departamento,ARG,190000,190000,2181748829,2023-12,965.59,"c(-58.5383168, -34.6009983)",FALSE,190000,196.77,4318.18,4.47,4750,4.92,NA,29,12,06840010,Sáenz Peña,Sáenz Peña,Este,FALSE,FALSE,TRUE,FALSE
2023-12-03T00:00:00Z,2023-11-28T09:22:15Z,2024-02-26T00:00:00Z,Inmobiliaria,Alquiler,60,57,2,3,NA,Departamento,ARG,200000,200000,1794385851,2023-12,965.59,"c(-58.5891981, -34.5981739)",FALSE,200000,207.13,3333.33,3.45,3508.77,3.63,NA,19,03,06840010,Ciudad Jardín Lomas del Palomar,Ciudad Jardín Lomas del Palomar,Centro,FALSE,FALSE,FALSE,FALSE
2023-12-31T00:00:00Z,2023-12-30T10:46:10Z,2024-03-29T00:00:00Z,Inmobiliaria,Alquiler,33,30,0,1,NA,Departamento,ARG,180000,180000,1801567903,2023-12,965.59,"c(-58.5743207, -34.6075977)",FALSE,180000,186.41,5454.55,5.65,6000,6.21,NA,18,01,06840010,Caseros,Caseros,Caseros,FALSE,FALSE,TRUE,FALSE
2023-12-18T00:00:00Z,2023-12-06T09:54:18Z,2024-03-05T00:00:00Z,Inmobiliaria,Alquiler,44,40,1,0,NA,Departamento,ARG,180000,180000,2182289881,2023-12,965.59,"c(-58.5674889, -34.6056814)",FALSE,180000,186.41,4090.91,4.24,4500,4.66,DP,18,01,06840010,Caseros,Caseros,Caseros,FALSE,FALSE,TRUE,FALSE
2023-12-31T00:00:00Z,2023-11-21T17:55:48Z,2024-02-19T00:00:00Z,Inmobiliaria,Alquiler,36,34,1,2,NA,Departamento,ARG,275000,275000,1792955591,2023-12,965.59,"c(-58.571368, -34.591783)",FALSE,275000,284.8,7638.89,7.91,8088.24,8.38,DP,22,14,06840010,Villa Bosch,Villa Bosch,Centro,FALSE,FALSE,FALSE,FALSE
2023-12-13T00:00:00Z,2023-08-09T16:17:53Z,2024-02-05T00:00:00Z,Inmobiliaria,Alquiler,37,34,1,2,NA,Departamento,ARG,180000,180000,1764670679,2023-12,965.59,"c(-58.5657817, -34.6099965)",FALSE,180000,186.41,4864.86,5.04,5294.12,5.48,NA,18,01,06840010,Caseros,Caseros,Caseros,FALSE,FALSE,FALSE,FALSE
2023-12-31T00:00:00Z,2023-12-26T12:00:02Z,2024-03-25T00:00:00Z,Inmobiliaria,Alquiler,55,50,1,2,NA,Departamento,ARG,220000,220000,2221197005,2023-12,965.59,"c(-58.5915128, -34.5876505)",FALSE,220000,227.84,4000,4.14,4400,4.56,NA,20,08,06840010,Martín Coronado,Martín Coronado,Centro,FALSE,FALSE,TRUE,FALSE
2023-12-18T00:00:00Z,2023-12-16T10:18:50Z,2024-03-15T00:00:00Z,Inmobiliaria,Alquiler,43,40,1,2,NA,Departamento,ARG,170000,170000,2203022561,2023-12,965.59,"c(-58.5475589, -34.5954675)",FALSE,170000,176.06,3953.49,4.09,4250,4.4,NA,21,13,06840010,Santos Lugares,Santos Lugares,Este,FALSE,FALSE,FALSE,FALSE
2023-12-31T00:00:00Z,2023-12-10T20:47:13Z,2024-03-09T00:00:00Z,Inmobiliaria,Alquiler,63,63,2,3,NA,Departamento,ARG,333000,333000,2189675229,2023-12,965.59,"c(-58.5300936, -34.5992231)",FALSE,333000,344.87,5285.71,5.47,5285.71,5.47,NA,29,12,06840010,Sáenz Peña,Sáenz Peña,Este,FALSE,FALSE,FALSE,FALSE
