"","TIM_DAY","ITE_AUCTION_START_DATETIME","ITE_AUCTION_STOP_DATETIME","DEALER_TYPE_GROUP_DESC","OPERATION","TOTAL_AREA","COVERED_AREA","BEDROOMS","ROOMS","ITE_ITEM_ID","PROPERTY_TYPE","SIT_CURRENCY_ID","ITE_CURRENT_PRICE","PRECIO_LOCAL","ID.Nuevo","mes","tc_prom","geometry","dummy_dolar","precio_pesos","precio_dolares","pesosm2tot","dolaresm2tot","pesosm2_cub","dolaresm2_cub","fid","cod_ent","cod_loc","nombre","zona_venta","zona_alq","digitos_iguales","digitos_iguales_pesos","digitos_iguales_m2tot","borrar"
"1",2023-11-29,2023-09-08 15:45:05,2024-03-18 20:49:45,"Inmobiliaria","Venta",62,60,2,3,NA,"Departamento","DOL",100000,35950000,2004875337,"2023-11",882.79,"c(-58.5898764, -34.5992355)",TRUE,88279000,100000,1423854.84,1612.9,1471316.67,1666.67,19,"03","06840010","Ciudad Jardín Lomas del Palomar","Ciudad Jardín Lomas del Palomar","Centro",FALSE,FALSE,FALSE,FALSE
"2",2023-12-31,2023-09-08 15:45:05,2024-03-27 08:16:03,"Inmobiliaria","Venta",62,60,2,3,NA,"Departamento","DOL",90000,72715500,2004875337,"2023-12",965.59,"c(-58.5898764, -34.5992355)",TRUE,86903100,90000,1401662.9,1451.61,1448385,1500,19,"03","06840010","Ciudad Jardín Lomas del Palomar","Ciudad Jardín Lomas del Palomar","Centro",FALSE,FALSE,FALSE,FALSE
